"sku","element"
"2384","1"
"2406","1"
"2417","1"
"2436","1"
"2457","1"
"2510","1"
"2535","1"
"2806","1"
"2828","1"
"2903","1"
"2908","1"
"2914","1"
"2920","1"
"2925","1"
"3283","1"
"3508","1"
"3667","1"
"3700","1"
"3771","1"
"3808","1"
"3810","1"
"4059","1"
"4069","1"
"4071","1"
"4112","1"
"4116","1"
"4117","1"
"4156","1"
"4222","1"
"4235","1"
"4236","1"
"4292","1"
"4724","1"
"4858","1"
"4904","1"
"5010","1"
"5407","1"
"5637","1"
"5692","1"
"5908","1"
"5953","1"
"6092","1"
"6168","1"
"6174","1"
"6189","1"
"6253","1"
"6304","1"
"6307","1"
"6385","1"
"6393","1"
"6569","1"
"6596","1"
"6612","1"
"6615","1"
"6625","1"
"6675","1"
"6676","1"
"6703","1"
"6710","1"
"6721","1"
"6738","1"
"6804","1"
"7148","1"
"7150","1"
"7155","1"
"7156","1"
"7236","1"
"7241","1"
"7411","1"
"7459","1"
"7467","1"
"7676","1"
"7967","1"
"8078","1"
"8136","1"
"8412","1"
"8741","1"
