nuclearindustry;bankingsector;militaryproduction;hotelandrestaurantmanagement;forestryandwoodindustry;utilities;lightindustry;mechanicalengineering;furnitureindustry;medicineandpharmaceutics;metallurgy;naftogaz;footwearindustry;foodprocessingindustry;advertisingindustry;agriculture;building;servicessector;trade;transportationandlogistics;telecommunications;pipelinetransport;tourism;coalindustry;chemicalindustry;electricpower;overheadspecialty;shippingandcrewing
6612;6612;;6612;6612;6612;6612;6612;;6612;;;;6612;6612;6612;6612;6612;6612;6612;6612;;6612;;;6612;6612;
6602;6602;;6602;6602;6602;6602;6602;;6602;;;;6602;6602;6602;6602;6602;6602;6602;6602;;6602;;;6602;6602;
6607;6607;;6607;6607;6607;6607;6607;;6607;;;;6607;6607;6607;6607;6607;6607;6607;6607;;6607;;;6607;6607;
6603;6603;;6603;6603;6603;6603;6603;;6603;;;;6603;6603;6603;6603;6603;6603;6603;6603;;6603;;;6603;6603;
6606;6606;;6606;6606;6606;6606;6606;;6606;;;;6606;6606;6606;6606;6606;6606;6606;6606;;6606;;;6606;6606;
6613;6613;;6613;6613;6613;6613;6613;;6613;;;;6613;6613;6613;6613;6613;6613;6613;6613;;6613;;;6613;6613;
6610;6610;;6610;6610;6610;6610;6610;;6610;;;;6610;6610;6610;6610;6610;6610;6610;6610;;6610;;;6610;6610;
6600;6600;;6600;6600;6600;6600;6600;;6600;;;;6600;6600;6600;6600;6600;6600;6600;6600;;6600;;;6600;6600;
6609;6609;;6609;6609;6609;6609;6609;;6609;;;;6609;6609;6609;6609;6609;6609;6609;6609;;6609;;;6609;6609;
6599;6599;;6599;6599;6599;6599;6599;;6599;;;;6599;6599;6599;6599;6599;6599;6599;6599;;6599;;;6599;6599;
4119;4119;4119;4119;4119;4119;4119;4119;;4119;;;;4119;4119;4119;4119;4119;4119;4119;4119;;4119;;;4119;4119;
6608;6608;;6608;6608;6608;6608;6608;;6608;;;;6608;6608;6608;6608;6608;6608;6608;6608;;6608;;;6608;6608;
6604;6604;;6604;6604;6604;6604;6604;;6604;;;;6604;6604;6604;6604;6604;6604;6604;6604;;6604;;;6604;6604;
6601;6601;6601;6601;6601;6601;6601;6601;;6601;;;;6601;6601;6601;6601;6601;6601;6601;6601;;6601;;;6601;6601;
4858;4858;;4858;4858;4858;4858;4858;;4858;;;4858;4858;4858;4858;4858;4858;4858;4858;4858;;4858;;4858;4858;4858;
4118;4118;4118;4118;4118;4118;4118;4118;;4118;;;4118;4118;4118;4118;4118;4118;4118;4118;4118;;4118;;4118;4118;4118;
4857;4857;4857;4857;4857;4857;4857;4857;;4857;;;4857;4857;4857;4857;4857;4857;4857;4857;4857;;4857;;4857;4857;4857;
6615;6615;;6615;6615;6615;6615;6615;;6615;;;;6615;6615;6615;6615;6615;6615;6615;6615;;6615;;;6615;6615;
6617;6617;;6617;6617;6617;6617;6617;;6617;;;;6617;6617;6617;6617;6617;6617;6617;6617;;6617;;;6617;6617;
6619;6619;;6619;6619;6619;6619;6619;;6619;;;;6619;6619;6619;6619;6619;6619;6619;6619;;6619;;;6619;6619;
