"element_sku","value"
6612,"nuclearindustry"
6612,"bankingsector"
6612,"hotelandrestaurantmanagement"
6612,"forestryandwoodindustry"
6612,"utilities"
6612,"lightindustry"
6612,"mechanicalengineering"
6612,"medicineandpharmaceutics"
6612,"foodprocessingindustry"
6612,"advertisingindustry"
6612,"agriculture"
6612,"building"
6612,"servicessector"
6612,"trade"
6612,"transportationandlogistics"
6612,"telecommunications"
6612,"tourism"
6612,"electricpower"
6612,"overheadspecialty"
6602,"nuclearindustry"
6602,"bankingsector"
6602,"hotelandrestaurantmanagement"
6602,"forestryandwoodindustry"
6602,"utilities"
6602,"lightindustry"
6602,"mechanicalengineering"
6602,"medicineandpharmaceutics"
6602,"foodprocessingindustry"
6602,"advertisingindustry"
6602,"agriculture"
6602,"building"
6602,"servicessector"
6602,"trade"
6602,"transportationandlogistics"
6602,"telecommunications"
6602,"tourism"
6602,"electricpower"
6602,"overheadspecialty"
6607,"nuclearindustry"
6607,"bankingsector"
6607,"hotelandrestaurantmanagement"
6607,"forestryandwoodindustry"
6607,"utilities"
6607,"lightindustry"
6607,"mechanicalengineering"
6607,"medicineandpharmaceutics"
6607,"foodprocessingindustry"
6607,"advertisingindustry"
6607,"agriculture"
6607,"building"
6607,"servicessector"
6607,"trade"
6607,"transportationandlogistics"
6607,"telecommunications"
6607,"tourism"
6607,"electricpower"
6607,"overheadspecialty"
6603,"nuclearindustry"
6603,"bankingsector"
6603,"hotelandrestaurantmanagement"
6603,"forestryandwoodindustry"
6603,"utilities"
6603,"lightindustry"
6603,"mechanicalengineering"
6603,"medicineandpharmaceutics"
6603,"foodprocessingindustry"
6603,"advertisingindustry"
6603,"agriculture"
6603,"building"
6603,"servicessector"
6603,"trade"
6603,"transportationandlogistics"
6603,"telecommunications"
6603,"tourism"
6603,"electricpower"
6603,"overheadspecialty"
6606,"nuclearindustry"
6606,"bankingsector"
6606,"hotelandrestaurantmanagement"
6606,"forestryandwoodindustry"
6606,"utilities"
6606,"lightindustry"
6606,"mechanicalengineering"
6606,"medicineandpharmaceutics"
6606,"foodprocessingindustry"
6606,"advertisingindustry"
6606,"agriculture"
6606,"building"
6606,"servicessector"
6606,"trade"
6606,"transportationandlogistics"
6606,"telecommunications"
6606,"tourism"
6606,"electricpower"
6606,"overheadspecialty"
6613,"nuclearindustry"
6613,"bankingsector"
6613,"hotelandrestaurantmanagement"
6613,"forestryandwoodindustry"
6613,"utilities"
6613,"lightindustry"
6613,"mechanicalengineering"
6613,"medicineandpharmaceutics"
6613,"foodprocessingindustry"
6613,"advertisingindustry"
6613,"agriculture"
6613,"building"
6613,"servicessector"
6613,"trade"
6613,"transportationandlogistics"
6613,"telecommunications"
6613,"tourism"
6613,"electricpower"
6613,"overheadspecialty"
6610,"nuclearindustry"
6610,"bankingsector"
6610,"hotelandrestaurantmanagement"
6610,"forestryandwoodindustry"
6610,"utilities"
6610,"lightindustry"
6610,"mechanicalengineering"
6610,"medicineandpharmaceutics"
6610,"foodprocessingindustry"
6610,"advertisingindustry"
6610,"agriculture"
6610,"building"
6610,"servicessector"
6610,"trade"
6610,"transportationandlogistics"
6610,"telecommunications"
6610,"tourism"
6610,"electricpower"
6610,"overheadspecialty"
6600,"nuclearindustry"
6600,"bankingsector"
6600,"hotelandrestaurantmanagement"
6600,"forestryandwoodindustry"
6600,"utilities"
6600,"lightindustry"
6600,"mechanicalengineering"
6600,"medicineandpharmaceutics"
6600,"foodprocessingindustry"
6600,"advertisingindustry"
6600,"agriculture"
6600,"building"
6600,"servicessector"
6600,"trade"
6600,"transportationandlogistics"
6600,"telecommunications"
6600,"tourism"
6600,"electricpower"
6600,"overheadspecialty"
6609,"nuclearindustry"
6609,"bankingsector"
6609,"hotelandrestaurantmanagement"
6609,"forestryandwoodindustry"
6609,"utilities"
6609,"lightindustry"
6609,"mechanicalengineering"
6609,"medicineandpharmaceutics"
6609,"foodprocessingindustry"
6609,"advertisingindustry"
6609,"agriculture"
6609,"building"
6609,"servicessector"
6609,"trade"
6609,"transportationandlogistics"
6609,"telecommunications"
6609,"tourism"
6609,"electricpower"
6609,"overheadspecialty"
6599,"nuclearindustry"
6599,"bankingsector"
6599,"hotelandrestaurantmanagement"
6599,"forestryandwoodindustry"
6599,"utilities"
6599,"lightindustry"
6599,"mechanicalengineering"
6599,"medicineandpharmaceutics"
6599,"foodprocessingindustry"
6599,"advertisingindustry"
6599,"agriculture"
6599,"building"
6599,"servicessector"
6599,"trade"
6599,"transportationandlogistics"
6599,"telecommunications"
6599,"tourism"
6599,"electricpower"
6599,"overheadspecialty"
4119,"nuclearindustry"
4119,"bankingsector"
4119,"militaryproduction"
4119,"hotelandrestaurantmanagement"
4119,"forestryandwoodindustry"
4119,"utilities"
4119,"lightindustry"
4119,"mechanicalengineering"
4119,"medicineandpharmaceutics"
4119,"foodprocessingindustry"
4119,"advertisingindustry"
4119,"agriculture"
4119,"building"
4119,"servicessector"
4119,"trade"
4119,"transportationandlogistics"
4119,"telecommunications"
4119,"tourism"
4119,"electricpower"
4119,"overheadspecialty"
6608,"nuclearindustry"
6608,"bankingsector"
6608,"hotelandrestaurantmanagement"
6608,"forestryandwoodindustry"
6608,"utilities"
6608,"lightindustry"
6608,"mechanicalengineering"
6608,"medicineandpharmaceutics"
6608,"foodprocessingindustry"
6608,"advertisingindustry"
6608,"agriculture"
6608,"building"
6608,"servicessector"
6608,"trade"
6608,"transportationandlogistics"
6608,"telecommunications"
6608,"tourism"
6608,"electricpower"
6608,"overheadspecialty"
6604,"nuclearindustry"
6604,"bankingsector"
6604,"hotelandrestaurantmanagement"
6604,"forestryandwoodindustry"
6604,"utilities"
6604,"lightindustry"
6604,"mechanicalengineering"
6604,"medicineandpharmaceutics"
6604,"foodprocessingindustry"
6604,"advertisingindustry"
6604,"agriculture"
6604,"building"
6604,"servicessector"
6604,"trade"
6604,"transportationandlogistics"
6604,"telecommunications"
6604,"tourism"
6604,"electricpower"
6604,"overheadspecialty"
6601,"nuclearindustry"
6601,"bankingsector"
6601,"militaryproduction"
6601,"hotelandrestaurantmanagement"
6601,"forestryandwoodindustry"
6601,"utilities"
6601,"lightindustry"
6601,"mechanicalengineering"
6601,"medicineandpharmaceutics"
6601,"foodprocessingindustry"
6601,"advertisingindustry"
6601,"agriculture"
6601,"building"
6601,"servicessector"
6601,"trade"
6601,"transportationandlogistics"
6601,"telecommunications"
6601,"tourism"
6601,"electricpower"
6601,"overheadspecialty"
4858,"nuclearindustry"
4858,"bankingsector"
4858,"hotelandrestaurantmanagement"
4858,"forestryandwoodindustry"
4858,"utilities"
4858,"lightindustry"
4858,"mechanicalengineering"
4858,"medicineandpharmaceutics"
4858,"footwearindustry"
4858,"foodprocessingindustry"
4858,"advertisingindustry"
4858,"agriculture"
4858,"building"
4858,"servicessector"
4858,"trade"
4858,"transportationandlogistics"
4858,"telecommunications"
4858,"tourism"
4858,"chemicalindustry"
4858,"electricpower"
4858,"overheadspecialty"
4118,"nuclearindustry"
4118,"bankingsector"
4118,"militaryproduction"
4118,"hotelandrestaurantmanagement"
4118,"forestryandwoodindustry"
4118,"utilities"
4118,"lightindustry"
4118,"mechanicalengineering"
4118,"medicineandpharmaceutics"
4118,"footwearindustry"
4118,"foodprocessingindustry"
4118,"advertisingindustry"
4118,"agriculture"
4118,"building"
4118,"servicessector"
4118,"trade"
4118,"transportationandlogistics"
4118,"telecommunications"
4118,"tourism"
4118,"chemicalindustry"
4118,"electricpower"
4118,"overheadspecialty"
4857,"nuclearindustry"
4857,"bankingsector"
4857,"militaryproduction"
4857,"hotelandrestaurantmanagement"
4857,"forestryandwoodindustry"
4857,"utilities"
4857,"lightindustry"
4857,"mechanicalengineering"
4857,"medicineandpharmaceutics"
4857,"footwearindustry"
4857,"foodprocessingindustry"
4857,"advertisingindustry"
4857,"agriculture"
4857,"building"
4857,"servicessector"
4857,"trade"
4857,"transportationandlogistics"
4857,"telecommunications"
4857,"tourism"
4857,"chemicalindustry"
4857,"electricpower"
4857,"overheadspecialty"
6615,"nuclearindustry"
6615,"bankingsector"
6615,"hotelandrestaurantmanagement"
6615,"forestryandwoodindustry"
6615,"utilities"
6615,"lightindustry"
6615,"mechanicalengineering"
6615,"medicineandpharmaceutics"
6615,"foodprocessingindustry"
6615,"advertisingindustry"
6615,"agriculture"
6615,"building"
6615,"servicessector"
6615,"trade"
6615,"transportationandlogistics"
6615,"telecommunications"
6615,"tourism"
6615,"electricpower"
6615,"overheadspecialty"
6617,"nuclearindustry"
6617,"bankingsector"
6617,"hotelandrestaurantmanagement"
6617,"forestryandwoodindustry"
6617,"utilities"
6617,"lightindustry"
6617,"mechanicalengineering"
6617,"medicineandpharmaceutics"
6617,"foodprocessingindustry"
6617,"advertisingindustry"
6617,"agriculture"
6617,"building"
6617,"servicessector"
6617,"trade"
6617,"transportationandlogistics"
6617,"telecommunications"
6617,"tourism"
6617,"electricpower"
6617,"overheadspecialty"
6619,"nuclearindustry"
6619,"bankingsector"
6619,"hotelandrestaurantmanagement"
6619,"forestryandwoodindustry"
6619,"utilities"
6619,"lightindustry"
6619,"mechanicalengineering"
6619,"medicineandpharmaceutics"
6619,"foodprocessingindustry"
6619,"advertisingindustry"
6619,"agriculture"
6619,"building"
6619,"servicessector"
6619,"trade"
6619,"transportationandlogistics"
6619,"telecommunications"
6619,"tourism"
6619,"electricpower"
6619,"overheadspecialty"
4120,"nuclearindustry"
4120,"bankingsector"
4120,"militaryproduction"
4120,"hotelandrestaurantmanagement"
4120,"forestryandwoodindustry"
4120,"utilities"
4120,"lightindustry"
4120,"mechanicalengineering"
4120,"medicineandpharmaceutics"
4120,"foodprocessingindustry"
4120,"advertisingindustry"
4120,"agriculture"
4120,"building"
4120,"servicessector"
4120,"trade"
4120,"transportationandlogistics"
4120,"telecommunications"
4120,"tourism"
4120,"electricpower"
4120,"overheadspecialty"
6618,"nuclearindustry"
6618,"bankingsector"
6618,"hotelandrestaurantmanagement"
6618,"forestryandwoodindustry"
6618,"utilities"
6618,"lightindustry"
6618,"mechanicalengineering"
6618,"medicineandpharmaceutics"
6618,"foodprocessingindustry"
6618,"advertisingindustry"
6618,"agriculture"
6618,"building"
6618,"servicessector"
6618,"trade"
6618,"transportationandlogistics"
6618,"telecommunications"
6618,"tourism"
6618,"electricpower"
6618,"overheadspecialty"
6616,"nuclearindustry"
6616,"bankingsector"
6616,"hotelandrestaurantmanagement"
6616,"forestryandwoodindustry"
6616,"utilities"
6616,"lightindustry"
6616,"mechanicalengineering"
6616,"medicineandpharmaceutics"
6616,"foodprocessingindustry"
6616,"advertisingindustry"
6616,"agriculture"
6616,"building"
6616,"servicessector"
6616,"trade"
6616,"transportationandlogistics"
6616,"telecommunications"
6616,"tourism"
6616,"electricpower"
6616,"overheadspecialty"
6614,"nuclearindustry"
6614,"bankingsector"
6614,"militaryproduction"
6614,"hotelandrestaurantmanagement"
6614,"forestryandwoodindustry"
6614,"utilities"
6614,"lightindustry"
6614,"mechanicalengineering"
6614,"medicineandpharmaceutics"
6614,"foodprocessingindustry"
6614,"advertisingindustry"
6614,"agriculture"
6614,"building"
6614,"servicessector"
6614,"trade"
6614,"transportationandlogistics"
6614,"telecommunications"
6614,"tourism"
6614,"electricpower"
6614,"overheadspecialty"
6189,"nuclearindustry"
6189,"bankingsector"
6189,"hotelandrestaurantmanagement"
6189,"forestryandwoodindustry"
6189,"utilities"
6189,"lightindustry"
6189,"medicineandpharmaceutics"
6189,"foodprocessingindustry"
6189,"advertisingindustry"
6189,"agriculture"
6189,"servicessector"
6189,"trade"
6189,"transportationandlogistics"
6189,"telecommunications"
6189,"overheadspecialty"
5926,"nuclearindustry"
5926,"bankingsector"
5926,"hotelandrestaurantmanagement"
5926,"forestryandwoodindustry"
5926,"utilities"
5926,"lightindustry"
5926,"medicineandpharmaceutics"
5926,"foodprocessingindustry"
5926,"advertisingindustry"
5926,"agriculture"
5926,"servicessector"
5926,"trade"
5926,"transportationandlogistics"
5926,"telecommunications"
5926,"overheadspecialty"
5927,"nuclearindustry"
5927,"bankingsector"
5927,"hotelandrestaurantmanagement"
5927,"forestryandwoodindustry"
5927,"utilities"
5927,"lightindustry"
5927,"medicineandpharmaceutics"
5927,"foodprocessingindustry"
5927,"advertisingindustry"
5927,"agriculture"
5927,"servicessector"
5927,"trade"
5927,"transportationandlogistics"
5927,"telecommunications"
5927,"overheadspecialty"
6184,"nuclearindustry"
6184,"bankingsector"
6184,"hotelandrestaurantmanagement"
6184,"forestryandwoodindustry"
6184,"utilities"
6184,"lightindustry"
6184,"medicineandpharmaceutics"
6184,"foodprocessingindustry"
6184,"advertisingindustry"
6184,"agriculture"
6184,"servicessector"
6184,"trade"
6184,"transportationandlogistics"
6184,"telecommunications"
6184,"overheadspecialty"
6180,"nuclearindustry"
6180,"bankingsector"
6180,"hotelandrestaurantmanagement"
6180,"forestryandwoodindustry"
6180,"utilities"
6180,"lightindustry"
6180,"medicineandpharmaceutics"
6180,"foodprocessingindustry"
6180,"advertisingindustry"
6180,"agriculture"
6180,"servicessector"
6180,"trade"
6180,"transportationandlogistics"
6180,"telecommunications"
6180,"overheadspecialty"
4092,"nuclearindustry"
4092,"bankingsector"
4092,"hotelandrestaurantmanagement"
4092,"forestryandwoodindustry"
4092,"utilities"
4092,"lightindustry"
4092,"medicineandpharmaceutics"
4092,"foodprocessingindustry"
4092,"advertisingindustry"
4092,"agriculture"
4092,"servicessector"
4092,"trade"
4092,"transportationandlogistics"
4092,"telecommunications"
4092,"overheadspecialty"
5923,"nuclearindustry"
5923,"bankingsector"
5923,"hotelandrestaurantmanagement"
5923,"forestryandwoodindustry"
5923,"utilities"
5923,"lightindustry"
5923,"medicineandpharmaceutics"
5923,"foodprocessingindustry"
5923,"advertisingindustry"
5923,"agriculture"
5923,"servicessector"
5923,"trade"
5923,"transportationandlogistics"
5923,"telecommunications"
5923,"overheadspecialty"
6190,"nuclearindustry"
6190,"bankingsector"
6190,"hotelandrestaurantmanagement"
6190,"forestryandwoodindustry"
6190,"utilities"
6190,"lightindustry"
6190,"medicineandpharmaceutics"
6190,"foodprocessingindustry"
6190,"advertisingindustry"
6190,"agriculture"
6190,"servicessector"
6190,"trade"
6190,"transportationandlogistics"
6190,"telecommunications"
6190,"overheadspecialty"
5928,"nuclearindustry"
5928,"bankingsector"
5928,"hotelandrestaurantmanagement"
5928,"forestryandwoodindustry"
5928,"utilities"
5928,"lightindustry"
5928,"medicineandpharmaceutics"
5928,"foodprocessingindustry"
5928,"advertisingindustry"
5928,"agriculture"
5928,"servicessector"
5928,"trade"
5928,"transportationandlogistics"
5928,"telecommunications"
5928,"overheadspecialty"
6191,"nuclearindustry"
6191,"bankingsector"
6191,"hotelandrestaurantmanagement"
6191,"forestryandwoodindustry"
6191,"utilities"
6191,"lightindustry"
6191,"medicineandpharmaceutics"
6191,"foodprocessingindustry"
6191,"advertisingindustry"
6191,"agriculture"
6191,"servicessector"
6191,"trade"
6191,"transportationandlogistics"
6191,"telecommunications"
6191,"overheadspecialty"
6852,"nuclearindustry"
6852,"bankingsector"
6852,"hotelandrestaurantmanagement"
6852,"forestryandwoodindustry"
6852,"utilities"
6852,"lightindustry"
6852,"medicineandpharmaceutics"
6852,"foodprocessingindustry"
6852,"advertisingindustry"
6852,"agriculture"
6852,"servicessector"
6852,"trade"
6852,"transportationandlogistics"
6852,"telecommunications"
6852,"overheadspecialty"
5919,"nuclearindustry"
5919,"bankingsector"
5919,"hotelandrestaurantmanagement"
5919,"forestryandwoodindustry"
5919,"utilities"
5919,"lightindustry"
5919,"medicineandpharmaceutics"
5919,"foodprocessingindustry"
5919,"advertisingindustry"
5919,"agriculture"
5919,"servicessector"
5919,"trade"
5919,"transportationandlogistics"
5919,"telecommunications"
5919,"overheadspecialty"
6183,"nuclearindustry"
6183,"bankingsector"
6183,"hotelandrestaurantmanagement"
6183,"forestryandwoodindustry"
6183,"utilities"
6183,"lightindustry"
6183,"medicineandpharmaceutics"
6183,"foodprocessingindustry"
6183,"advertisingindustry"
6183,"agriculture"
6183,"servicessector"
6183,"trade"
6183,"transportationandlogistics"
6183,"telecommunications"
6183,"overheadspecialty"
6179,"nuclearindustry"
6179,"bankingsector"
6179,"hotelandrestaurantmanagement"
6179,"forestryandwoodindustry"
6179,"utilities"
6179,"lightindustry"
6179,"medicineandpharmaceutics"
6179,"foodprocessingindustry"
6179,"advertisingindustry"
6179,"agriculture"
6179,"servicessector"
6179,"trade"
6179,"transportationandlogistics"
6179,"telecommunications"
6179,"overheadspecialty"
6853,"nuclearindustry"
6853,"bankingsector"
6853,"hotelandrestaurantmanagement"
6853,"forestryandwoodindustry"
6853,"utilities"
6853,"lightindustry"
6853,"medicineandpharmaceutics"
6853,"foodprocessingindustry"
6853,"advertisingindustry"
6853,"agriculture"
6853,"servicessector"
6853,"trade"
6853,"transportationandlogistics"
6853,"telecommunications"
6853,"overheadspecialty"
6182,"nuclearindustry"
6182,"bankingsector"
6182,"hotelandrestaurantmanagement"
6182,"forestryandwoodindustry"
6182,"utilities"
6182,"lightindustry"
6182,"medicineandpharmaceutics"
6182,"foodprocessingindustry"
6182,"advertisingindustry"
6182,"agriculture"
6182,"servicessector"
6182,"trade"
6182,"transportationandlogistics"
6182,"telecommunications"
6182,"overheadspecialty"
5925,"nuclearindustry"
5925,"bankingsector"
5925,"hotelandrestaurantmanagement"
5925,"forestryandwoodindustry"
5925,"utilities"
5925,"lightindustry"
5925,"medicineandpharmaceutics"
5925,"foodprocessingindustry"
5925,"advertisingindustry"
5925,"agriculture"
5925,"servicessector"
5925,"trade"
5925,"transportationandlogistics"
5925,"telecommunications"
5925,"overheadspecialty"
5924,"nuclearindustry"
5924,"bankingsector"
5924,"hotelandrestaurantmanagement"
5924,"forestryandwoodindustry"
5924,"utilities"
5924,"lightindustry"
5924,"medicineandpharmaceutics"
5924,"foodprocessingindustry"
5924,"advertisingindustry"
5924,"agriculture"
5924,"servicessector"
5924,"trade"
