id;name;preview_picture;preview_text;detail_picture;detail_text;xml_id;code;delopro;iblock_section;sku;color;brand;length;width;braid;weight;country;manufactured;warehouse;delivery_on;delivery_min;delivery_max;sample;calculation
;Болонья ПА ;/temp/Bolonia_1305.JPG;;/temp/Bolonia_1305.JPG;;6612;6612;Болонья ПА ВО бордо(12);Рабочие;6612;721439;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_1304vas.JPG;;/temp/Bolonia_1304vas.JPG;;6602;6602;Болонья ПА ВО вас(3);Рабочие;6602;0030b4;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_1521jilt.JPG;;/temp/Bolonia_1521jilt.JPG;;6607;6607;Болонья ПА ВО желт(7);Рабочие;6607;ffd400;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_1312zel.JPG;;/temp/Bolonia_1312zel.JPG;;6603;6603;Болонья ПА ВО зел(4);Рабочие;6603;206344;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_1917kras.JPG;;/temp/Bolonia_1917kras.JPG;;6606;6606;Болонья ПА ВО красн(6);Рабочие;6606;da0000;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_1317oranj.JPG;;/temp/Bolonia_1317oranj.JPG;;6613;6613;Болонья ПА ВО люм.оран.(10);Рабочие;6613;ff6500;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_1426oranj.JPG;;/temp/Bolonia_1426oranj.JPG;;6610;6610;Болонья ПА ВО оран(9);Рабочие;6610;ea7000;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_1309Bel.JPG;;/temp/Bolonia_1309Bel.JPG;;6600;6600;Болонья ПА ВО отб(0);Рабочие;6600;ffffff;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_1313svser.JPG;;/temp/Bolonia_1313svser.JPG;;6609;6609;Болонья ПА ВО св.сер(11);Рабочие;6609;d3d3d3;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_1321Sin.JPG;;/temp/Bolonia_1321Sin.JPG;;6599;6599;Болонья ПА ВО син(2);Рабочие;6599;1d0072;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_8362oliva19.JPG;;/temp/Bolonia_8362oliva19.JPG;;4119;4119;Болонья ПА ВО т.олив. 19;Рабочие;4119;464636;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_2013ser.JPG;;/temp/Bolonia_2013ser.JPG;;6608;6608;Болонья ПА ВО т.сер(8);Рабочие;6608;5c5c5c;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_1390trava.JPG;;/temp/Bolonia_1390trava.JPG;;6604;6604;Болонья ПА ВО трава(17-6153);Рабочие;6604;1d845e;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПА ;/temp/Bolonia_19134ern.JPG;;/temp/Bolonia_19134ern.JPG;;6601;6601;Болонья ПА ВО черн(1);Рабочие;6601;000000;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПВХ;/temp/Bolonia_13321sin.JPG;;/temp/Bolonia_13321sin.JPG;;4858;4858;Болонья ПВХ ВО син(02);Рабочие;4858;1d0072;;;150;linen;220;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПВХ;/temp/Bolonia_83662oliva19.JPG;;/temp/Bolonia_83662oliva19.JPG;;4118;4118;Болонья ПВХ ВО т.олив. 19;Рабочие;4118;464636;;;150;linen;220;Китай;30.11.2015;да;да;2;7;да;да
;Болонья ПВХ;/temp/Bolonia_19913ern.JPG;;/temp/Bolonia_19913ern.JPG;;4857;4857;Болонья ПВХ ВО черн;Рабочие;4857;000000;;;150;linen;220;Китай;30.11.2015;да;да;2;7;да;да
;Болонья сильвер ;/temp/Bolonia_1304vas3.JPG;;/temp/Bolonia_1304vas3.JPG;;6615;6615;Болонья сильвер PU ВО вас(3);Рабочие;6615;0030b4;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья сильвер ;/temp/Bolonia_1318krasn.JPG;;/temp/Bolonia_1318krasn.JPG;;6617;6617;Болонья сильвер PU ВО красн(6);Рабочие;6617;da0000;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья сильвер ;/temp/Bolonia_1313svser.JPG;;/temp/Bolonia_1313svser.JPG;;6619;6619;Болонья сильвер PU ВО св.сер(11);Рабочие;6619;d3d3d3;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
;Болонья сильвер ;/temp/Bolonia_1290t_oliva19.JPG;;/temp/Bolonia_1290t_oliva19.JPG;;4120;4120;Болонья сильвер PU ВО т.олив. 19;Рабочие;4120;464636;;;150;linen;62;Китай;30.11.2015;да;да;2;7;да;да
