"element_sku","linked_sku"
6612,2805
6612,6910
6612,6598
6612,2475
6612,7467
6602,2825
6602,2524
6602,4895
6602,7467
6602,6598
6607,2828
6607,9753
6607,2374
6607,7676
6607,8754
6603,2827
6603,6660
6603,2475
6603,7467
6603,8751
6606,2824
6606,6912
6606,6596
6606,2475
6606,7467
6606,5989
6613,3765
6613,6912
6613,2579
6613,5989
6613,8748
6610,3765
6610,6912
6610,2579
6610,5989
6610,8748
6600,2828
6600,6904
6600,6598
6600,2374
6600,5737
6609,2823
6609,6900
6609,2475
6609,7467
6609,6598
6599,2825
6599,6911
6599,4895
6599,7467
6599,8748
4119,7450
4119,2826
4119,9807
4119,7467
4119,8748
6608,2823
6608,6900
6608,2475
6608,7467
6608,6598
6604,7450
6604,2826
6604,9807
6604,7467
6604,8748
6601,2824
6601,6900
6601,2475
6601,7467
6601,8748
4858,2825
4858,6911
4858,4895
4858,7467
4858,8748
4118,7450
4118,2826
4118,9807
4118,7467
4118,8748
4857,2824
4857,6900
4857,2475
4857,7467
4857,8748
6615,2825
6615,2524
6615,4895
6615,7467
6615,6598
6617,2824
6617,6912
6617,6596
6617,2475
6617,7467
6617,5989
6619,2823
6619,6900
6619,2475
6619,7467
6619,6598
4120,7450
4120,2826
4120,9807
4120,7467
4120,8748
6618,2823
6618,6900
6618,2475
6618,7467
6618,6598
6616,7450
6616,2826
6616,9807
6616,7467
6616,8748
6614,2824
6614,6900
6614,2475
6614,7467
6614,8748
6189,2828
6189,6621
5926,2828
5927,2805
6184,2825
6180,2806
4092,2806
5923,2827
5923,2819
6190,2824
5928,2824
6191,3765
6852,3765
5919,2828
5919,6904
5919,6598
5919,2374
5919,5737
6183,2828
6179,2828
6853,2826
6182,2825
6182,6911
6182,4895
6182,7467
6182,8748
5925,2824
5924,2825
7411,2825
7411,2524
7411,4895
7411,7467
7411,6598
4532,2825
4532,2524
4532,4895
4532,7467
4532,6598
7403,2827
7403,6660
7403,2475
7403,7467
7403,8752
4534,2827
4534,6660
4534,2475
4534,7467
4534,8751
7404,2824
7404,6912
7404,6596
7404,2475
7404,7467
7404,5989
6127,2824
6127,6912
6127,6596
6127,2475
6127,7467
6127,5989
2398,7450
2398,2826
2398,9807
2398,7467
2398,8748
6645,3765
6645,6912
6645,2579
6645,5989
6645,8748
2862,3765
2862,6912
2862,2579
2862,5989
2862,8748
4536,3765
4536,6912
4536,2579
4536,5989
4536,8748
4535,2828
4535,6904
4535,6598
4535,2374
4535,5737
7408,2828
7408,6904
7408,6598
7408,2374
7408,5737
6642,2823
6642,6900
6642,2475
6642,7467
6642,6598
7462,2823
7462,6900
7462,2475
7462,7467
7462,6598
6644,7450
6644,2826
6644,9807
6644,7467
6644,8748
2400,7450
2400,2826
2400,9807
2400,7467
2400,8748
7409,2823
7409,6900
7409,2475
7409,7467
7409,6598
6128,2823
6128,6900
6128,2475
6128,7467
6128,6598
6643,2825
6643,6911
6643,4895
6643,7467
6643,8748
4533,2825
4533,6911
4533,4895
4533,7467
4533,8748
7412,2825
7412,6911
7412,4895
7412,7467
7412,8748
7410,2824
7410,6900
7410,2475
7410,7467
7410,8748
6126,2824
6126,6900
6126,2475
6126,7467
6126,8748
6129,2824
6129,6900
6129,2475
6129,7467
6135,2824
6135,6900
6135,2475
6135,7467
6131,2824
6131,6900
6131,2475
6131,7467
6134,2824
6134,6900
6134,2475
6134,7467
6133,2824
6133,6900
6133,2475
6133,7467
6130,2824
6130,6900
6130,2475
6130,7467
2867,2824
2867,6900
2867,2475
2867,7467
3642,2824
3642,6900
3642,2475
3642,7467
3638,2824
3638,6900
3638,2475
3638,7467
3639,2824
3639,6900
3639,2475
3639,7467
3640,2824
3640,6900
3640,2475
3640,7467
2403,2824
2403,6900
2403,2475
2403,7467
4627,2824
4627,6900
4627,2475
4627,7467
6304,2824
6304,6900
6304,2475
6304,7467
6303,2824
6303,6900
6303,2475
6303,7467
6302,2824
6302,6900
6302,2475
6302,7467
6301,2824
6301,6900
6301,2475
6301,7467
2397,2827
2397,6660
2397,2475
2397,7467
2397,8751
5935,2824
5935,6900
5935,2475
5935,7467
3678,2824
3678,6900
3678,2475
3678,7467
2863,2824
2863,6900
2863,2475
2863,7467
3675,2824
3675,6900
3675,2475
3675,7467
3645,2824
3645,6900
3645,2475
3645,7467
3657,2824
3657,6900
3657,2475
3657,7467
3658,2824
3658,6900
3658,2475
3658,7467
3671,2824
3671,6900
3671,2475
3671,7467
3772,2824
3772,6900
3772,2475
3772,7467
3679,7450
3679,2826
3679,9807
3679,7467
3679,8748
3682,7450
3682,2826
3682,9807
3682,7467
3682,8748
2866,2825
2866,6911
2866,4895
2866,7467
2866,8748
2865,2824
2865,6900
2865,2475
2865,7467
2865,8748
6307,2828
6307,8741
6307,2374
6307,8753
6306,2805
6306,6910
6306,6598
6306,2475
6306,7467
6634,2825
6634,2524
6634,4895
6634,7467
6634,6598
7458,2825
7458,2524
7458,4895
7458,7467
7458,6598
4529,2825
4529,2524
4529,4895
4529,7467
4529,6598
2859,2828
2859,9753
2859,2374
2859,7676
2859,8754
7460,2827
7460,6660
7460,2475
7460,7467
7460,8752
6636,2827
6636,6660
6636,2475
6636,7467
6636,6596
4530,2827
4530,6660
4530,2475
4530,7467
4530,8751
6308,2824
6308,4698
6308,2475
6308,7467
5936,2824
5936,6912
5936,6596
5936,2475
5936,7467
5936,5989
7405,2824
7405,6912
7405,6596
7405,2475
7405,7467
7405,5989
7461,3765
7461,6912
7461,2579
7461,5989
7461,8748
2861,2823
2861,6900
2861,2475
2861,7467
2861,6598
6305,2823
6305,6900
6305,2475
6305,7467
6305,6598
4628,2823
4628,6900
4628,2475
4628,7467
4628,6598
6637,2823
6637,6900
6637,2475
6637,7467
6637,6598
7457,2823
7457,6900
7457,2475
7457,7467
7457,6598
3697,7450
3697,2826
3697,9807
3697,7467
3697,8748
7407,2823
7407,6900
7407,2475
7407,7467
7407,6598
4531,2823
4531,6900
4531,2475
4531,7467
4531,6598
4528,2825
4528,6911
4528,4895
4528,7467
4528,8748
7406,2825
7406,6911
7406,4895
7406,7467
7406,8748
6635,2825
6635,6911
6635,4895
6635,7467
6635,8748
4527,2824
4527,6900
4527,2475
4527,7467
4527,8748
6638,2824
6638,6900
6638,2475
6638,7467
6638,8748
3283,2825
3283,2524
3283,4895
3283,7467
3283,6598
7402,2825
7402,2524
7402,4895
7402,7467
7402,6598
3285,2827
3285,6660
3285,2475
3285,7467
3285,8751
6641,2827
6641,6660
6641,2475
6641,7467
6641,8751
3286,3765
3286,6912
3286,2579
3286,5989
3286,8748
7401,3765
7401,6912
7401,2579
7401,5989
7401,8748
3299,2824
3299,6900
3299,2475
3299,7467
3289,2823
3289,6900
3289,2475
3289,7467
3289,6598
7463,2823
7463,6900
7463,2475
7463,7467
7463,6598
6639,2825
6639,6911
6639,4895
6639,7467
6639,8748
3287,2825
3287,6911
3287,4895
3287,7467
3287,8748
7456,2824
7456,6900
7456,2475
7456,7467
7456,8748
6640,2824
6640,6900
6640,2475
6640,7467
6640,8748
4724,2825
4724,2524
4724,4895
4724,7467
4724,6598
5759,2828
5759,9753
5759,2374
5759,7676
5759,8754
4726,2827
4726,6660
4726,2475
4726,7467
4726,8751
4859,2824
4859,6900
4859,2475
4859,7467
2907,2824
2907,6900
2907,2475
2907,7467
7145,2824
7145,6900
7145,2475
7145,7467
4122,2824
4122,6900
4122,2475
4122,7467
5461,2824
5461,6900
5461,2475
5461,7467
6122,2824
6122,6912
6122,6596
6122,2475
6122,7467
6122,5989
4728,3765
4728,6912
4728,2579
4728,5989
4728,8748
6124,2828
6124,6904
6124,8751
5760,3765
5760,6912
5760,2579
5760,5989
5760,8748
6390,2823
6390,6900
6390,2475
6390,7467
6390,6598
4121,7450
4121,2826
4121,9807
4121,7467
4121,8748
6123,2823
6123,6900
6123,2475
6123,7467
6123,6598
4617,2825
4617,6911
4617,4895
4617,7467
4617,8748
4616,2824
4616,6900
4616,2475
4616,7467
4616,8748
4156,2825
4156,2524
4156,4895
4156,7467
4156,6598
5401,2828
5401,9753
5401,2374
5401,7676
5401,8754
4157,2827
4157,6660
4157,2475
4157,7467
4157,8751
4723,2824
4723,6900
4723,2475
4723,7467
4614,2824
4614,6912
4614,6596
4614,2475
4614,7467
4614,5989
4613,3765
4613,6912
4613,2579
4613,5989
4613,8748
5761,2823
5761,6900
5761,2475
5761,7467
5761,6598
4474,2823
4474,6900
4474,2475
4474,7467
4474,6598
4615,2825
4615,6911
4615,4895
4615,7467
4615,8748
4170,2824
4170,6900
4170,2475
4170,7467
4170,8748
4292,3765
4292,6912
4292,2579
4292,5989
4292,8748
6392,2823
6392,6900
6392,2475
6392,7467
6392,6598
4856,2823
4856,6900
4856,2374
4856,3880
4856,7676
4414,2825
4414,2524
4414,4895
4414,7467
4414,6598
6391,2828
6391,9753
6391,2374
6391,7676
6391,8754
4416,2827
4416,6660
4416,2475
4416,7467
4416,8751
4855,2824
4855,6912
4855,6596
4855,2475
4855,7467
4855,5989
4415,2825
4415,6911
4415,4895
4415,7467
4415,8748
4767,2824
4767,6900
4767,2475
4767,7467
4767,8748
8136,2825
8136,2524
8136,4895
8136,7467
8136,6598
8400,2828
8400,9753
8400,2374
8400,7676
8400,8754
8137,2827
8137,6660
8137,2475
8137,7467
8137,8751
8138,2824
8138,6912
8138,6596
8138,2475
8138,7467
8138,5989
8139,3765
8139,6912
8139,2579
8139,5989
8139,8748
8140,2823
8140,6900
8140,2475
8140,7467
8140,6598
8519,2823
8519,6900
8519,2475
8519,7467
8519,6598
8141,2825
8141,6911
8141,4895
8141,7467
8141,8748
8142,2824
8142,6900
8142,2475
8142,7467
8142,8748
4059,2825
4059,6911
4059,4895
4059,7467
4059,8748
4056,2825
4056,6911
4056,4895
4056,7467
4056,8748
4062,2825
4062,6911
4062,4895
4062,7467
4062,8748
4067,2825
4067,6911
4067,4895
4067,7467
4067,8748
2417,7450
2417,2826
2417,9807
2417,7467
2417,8748
6721,2825
6721,2524
6721,4895
6721,7467
6721,6598
6722,2827
6722,6660
6722,2475
6722,7467
6722,8751
6724,2824
6724,6912
6724,6596
6724,2475
6724,7467
6724,5989
6727,2823
6727,6900
6727,2475
6727,7467
6727,6598
6725,2823
6725,6900
6725,2475
6725,7467
6725,6598
6720,2825
6720,6911
6720,4895
6720,7467
6720,8748
6719,2824
6719,6900
6719,2475
6719,7467
6719,8748
6738,2825
6738,2524
6738,4895
6738,7467
6738,6598
6739,2827
6739,6660
6739,2475
6739,7467
6739,8751
6743,2824
6743,6912
6743,6596
6743,2475
6743,7467
6743,5989
6745,2823
6745,6900
6745,2475
6745,7467
6745,6598
6744,2823
6744,6900
6744,2475
6744,7467
6744,6598
6731,2825
6731,6911
6731,4895
6731,7467
6731,8748
6729,2824
6729,6900
6729,2475
6729,7467
6729,8748
4222,2828
4222,6904
4222,6598
4222,2374
4222,5737
2875,2828
2875,6904
2875,6598
2875,2374
2875,5737
4221,2825
