"sku","supplier","name","ean","upc","height","width","height_min","height_max","area_lighting","height_adjustment","qty","power_max","power_total","voltage","gross","dimmer","lamp_included"
"30888084","MD5046-3 Black","Люстра KING BLACK MD5046-3 3×Е14 Max 60Вт","4820102010822","9405109190","580","560","580","1080","6","есть","3","40","120","220","","есть","нет"
"30888076","MD5046-6 Black","Люстра KING BLACK MD5046-6 6×Е14 Max 60Вт","4820102010747","9405109190","600","740","600","1100","12","есть","6","40","240","220","","есть","нет"
"30888078","MD5046-8 Black","Люстра KING BLACK MD5046-8 8×Е14 Max 60Вт","4820102010761","9405109190","720","860","720","1220","16","есть","8","40","320","220","","есть","нет"
"30888080","MB5046-1 Black","Светильник настенный KING BLACK MB5046-1 1×Е14 Max 60Вт","4820102010785","9405109190","450","150","450","450","2","нет","1","40","40","220","","есть","нет"
"30888082","MB5046-2 Black","Светильник настенный KING BLACK MB5046-1 1×Е14 Max 60Вт","4820102010808","9405109190","450","380","450","450","4","нет","2","40","80","220","","есть","нет"
"30888130","MT5046-3 White","Лампа настольная KING BLACK MT5046-3 3×Е14 Max 60Вт","4820102010433","9405109190","570","450","570","570","6","нет","3","40","120","220","","есть","нет"
"30888083","MD5046-3 White","Люстра KING WHITE MD5046-3 3×Е14 Max 60Вт","4820102010815","9405109190","580","560","580","1080","6","есть","3","40","120","220","","есть","нет"
"30888075","MD5046-6 White","Люстра KING WHITE MD5046-6 6×Е14 Max 60Вт","4820102010730","9405109190","580","560","580","1080","6","есть","3","40","120","220","","есть","нет"
"30888077","MD5046-8 White","Люстра KING WHITE MD5046-8 8×Е14 Max 60Вт","4820102010754","9405109190","720","860","720","1220","16","есть","8","40","320","220","","есть","нет"
"30888079","MB5046-1 White","Светильник настенный KING WHITE MB5046-1 1×Е14 Max 60Вт","4820102010778","9405109190","450","150","450","450","2","нет","1","40","40","220","","есть","нет"
"30888081","MB5046-2 White","Светильник настенный KING WHITE MB5046-2 2×Е14 Max 60Вт","4820102010792","9405109190","450","380","450","450","4","нет","2","40","80","220","","есть","нет"
"30888132","MT5046-3 White","Лампа настольная KING WHITE  MT5046-3 3×Е14 Max 60Вт","4820102010426","9405109190","570","450","570","570","6","нет","3","40","120","220","","есть","нет"
"30888073","MB1031-2 ","Светильник настенный AUREOLA  MB1031-2 2×Е14 Мах60Вт","4820102010716","9405109190","300","280","300","300","4","нет","2","40","80","220","1.7","есть","нет"
"30888074","MB1031-2В","Светильникк настенный AUREOLA  MB1031-2В 2×Е14 Мах 60Вт","4820102010723","9405109190","350","350","350","350","4","нет","2","40","80","220","1.5","есть","нет"
"30888070","MD1031-6","Люстра AUREOLA MD1031-6 6×Е14 Мах 60Вт","4820102010686","9405109190","730","860","730","1230","12","есть","6","40","240","220","12","есть","нет"
"30888071","MD1031-8","Люстра AUREOLA MD1031-8 8×Е14 Мах 60Вт","4820102010693","9405109190","730","860","730","1230","16","есть","8","40","320","220","14","есть","нет"
"30888238","70040-6/IVORY","Люстра WERSAL 70040-6/IVORY 12×Е14 Max 60Вт","4820102013021","9405109190","700","880","700","1200","25","есть","12","40","480","220","","есть","нет"
