"element_sku","value"
30888084,"Е14"
30888076,"Е14"
30888078,"Е14"
30888080,"Е14"
30888082,"Е14"
30888130,"Е14"
30888083,"Е14"
30888075,"Е14"
30888077,"Е14"
30888079,"Е14"
30888081,"Е14"
30888132,"Е14"
30888073,"Е14"
30888074,"Е14"
30888070,"Е14"
30888071,"Е14"
30888238,"Е14"
30888239,"Е14"
30888240,"Е14"
30888241,"Е14"
30888258,"Е14"
30888259,"Е14"
30888221,"Е14"
30888206,"Е14"
30888207,"Е14"
30888135,"Е27"
30888136,"Е27"
30888137,"Е27"
30888138,"Е27"
30888139,"Е27"
30888143,"Е27"
30888154,"Е27"
30888155,"Е27"
30888144,"Е27"
30888145,"Е14"
30888146,"Е14"
30888147,"Е14"
30888148,"Е14"
30888152,"Е27"
30888141,"Е27"
30888153,"Е27"
30888142,"Е27"
30888198,"Е27"
30888202,"Е27"
30888203,"Е27"
30888217,"Е27"
30888204,"Е27"
30888205,"Е27"
30888218,"Е27"
30888222,"Е27"
30888223,"Е27"
30888223,"Е14"
30888224,"Е27"
30888224,"Е14"
30888160,"Е27"
30888161,"Е27"
30888162,"Е27"
30888159,"Е27"
30888149,"Е27"
30888150,"Е27"
30888157,"Е27"
30888158,"Е27"
30888242,"Е14"
30888226,"Е14"
30888227,"Е14"
30888228,"Е14"
30888229,"Е14"
30888243,"Е14"
30888230,"Е14"
30888231,"Е14"
30888232,"Е14"
30888233,"Е14"
30888244,"Е14"
30888234,"Е14"
30888235,"Е14"
30888236,"Е14"
30888237,"Е14"
30888025,"Е27"
30888024,"Е27"
30888023,"Е27"
30888022,"Е27"
30888116,"Е27"
30888117,"Е27"
30888181,"Е27"
30888182,"Е27"
30888183,"Е27"
30888184,"Е27"
30888252,"Е27"
30888253,"Е27"
30888254,"Е27"
30888255,"Е27"
30888187,"Е14"
30888186,"Е14"
30888128,"Е14"
30888129,"Е14"
30888220,"Е27"
30888209,"Е27"
30888177,"G9"
30888178,"G9"
30888179,"G9"
30888188,"G9"
30888189,"G9"
30888190,"G9"
30888105,"G4"
30888106,"G4"
30888103,"G4"
30888104,"G4"
30888101,"G4"
30888102,"G4"
30888067,"G4"
30888068,"G4"
30888107,"G4"
30888108,"G4"
30888122,"G4"
30888059,"G4"
30888060,"G4"
30888123,"G4"
30888225,"G4"
30888069,"GU10"
30888118,"GU10"
30888169,"G4"
30888174,"G4"
30888172,"G4"
30888170,"G4"
30888173,"G4"
30888176,"G4"
30888185,"G4"
30888175,"G4"
30888193,"G4"
30888194,"G4"
30888180,"G4"
30888192,"G4"
30888245,"G4"
30888247,"G4"
30888246,"G4"
30888248,"G4"
30888249,"G4"
30888250,"G4"
30888257,"G4"
30888163,"Е27"
30888164,"Е27"
30888165,"Е27"
30888166,"Е27"
30888167,"Е27"
30888168,"Е27"
30888214,"Е27"
30888212,"Е27"
30888213,"Е27"
30888211,"Е27"
30888210,"Е27"
30888064,"G4"
30888063,"PLL"
30888065,"PLL"
30888133,"G4"
30888134,"G4"
