"element_sku","value"
30888084,"потолок"
30888076,"потолок"
30888078,"потолок"
30888080,"стена"
30888082,"стена"
30888130,"стол"
30888083,"потолок"
30888075,"потолок"
30888077,"потолок"
30888079,"стена"
30888081,"стена"
30888132,"стол"
30888073,"стена"
30888074,"стена"
30888070,"потолок"
30888071,"потолок"
30888238,"потолок"
30888239,"потолок"
30888240,"потолок"
30888241,"потолок"
30888258,"стена"
30888259,"стена"
30888221,"стена"
30888206,"потолок"
30888207,"потолок"
30888135,"потолок"
30888136,"потолок"
30888137,"потолок"
30888138,"потолок"
30888139,"стена"
30888143,"потолок"
30888154,"потолок"
30888155,"потолок"
30888144,"стена"
30888145,"потолок"
30888146,"потолок"
30888147,"потолок"
30888148,"стена"
30888152,"потолок"
30888141,"потолок"
30888153,"потолок"
30888142,"стена"
30888198,"потолок"
30888202,"потолок"
30888203,"потолок"
30888217,"стена"
30888204,"потолок"
30888205,"потолок"
30888218,"потолок"
30888222,"потолок"
30888223,"потолок"
30888224,"потолок"
30888160,"потолок"
30888161,"потолок"
30888162,"потолок"
30888159,"стена"
30888149,"потолок"
30888150,"потолок"
30888157,"потолок"
30888158,"потолок"
30888242,"стена"
30888226,"потолок"
30888227,"потолок"
30888228,"потолок"
30888229,"потолок"
30888243,"стена"
30888230,"потолок"
30888231,"потолок"
30888232,"потолок"
30888233,"потолок"
30888244,"стена"
30888234,"потолок"
30888235,"потолок"
30888236,"потолок"
30888237,"потолок"
30888025,"потолок"
30888024,"потолок"
30888023,"потолок"
30888022,"потолок"
30888116,"потолок"
30888117,"потолок"
30888181,"потолок"
30888182,"потолок"
30888183,"потолок"
30888184,"потолок"
30888252,"пол"
30888253,"пол"
30888254,"стол"
30888255,"стол"
30888187,"стена"
30888186,"потолок"
30888128,"потолок"
30888129,"потолок"
30888220,"пол"
30888209,"стол"
30888177,"стена"
30888178,"стена"
30888179,"стена"
30888188,"стена"
30888189,"стена"
30888190,"стена"
30888105,"потолок"
30888106,"потолок"
30888103,"потолок"
30888104,"потолок"
30888101,"потолок"
30888102,"потолок"
30888067,"потолок"
30888068,"потолок"
30888107,"потолок"
30888108,"потолок"
30888122,"стена"
30888059,"потолок"
30888060,"потолок"
30888123,"стена"
30888225,"стена"
30888069,"потолок"
30888118,"потолок"
30888169,"стена"
30888174,"стена"
30888172,"потолок"
30888170,"потолок"
30888173,"потолок"
30888176,"потолок"
30888185,"потолок"
30888175,"потолок"
30888193,"потолок"
30888194,"потолок"
30888180,"потолок"
30888192,"потолок"
30888245,"потолок"
30888247,"потолок"
30888246,"потолок"
30888248,"потолок"
30888249,"потолок"
30888250,"потолок"
30888257,"потолок"
30888163,"потолок"
30888164,"потолок"
30888165,"потолок"
30888166,"потолок"
30888167,"потолок"
30888168,"потолок"
30888214,"потолок"
30888212,"потолок"
30888213,"потолок"
30888211,"потолок"
30888210,"потолок"
30888064,"потолок"
30888063,"стена"
30888063,"потолок"
30888065,"стена"
30888065,"потолок"
30888133,"потолок"
30888134,"потолок"
