"sku","price"
30888084,4920.00
30888076,8100.00
30888078,9720.00
30888080,1680.00
30888082,2520.00
30888130,4736.00
30888083,4920.00
30888075,8100.00
30888077,9720.00
30888079,1680.00
30888081,2520.00
30888132,4736.00
30888073,952.00
30888074,1449.00
30888070,3795.00
30888071,5250.00
30888238,7236.00
30888239,9348.00
30888240,7236.00
30888241,9348.00
30888258,1980.00
30888259,1980.00
30888221,1734.00
30888206,11442.00
30888207,14505.00
30888135,904.00
30888136,1388.00
30888137,2126.00
30888138,408.00
30888139,364.00
30888143,3859.00
30888154,6398.80
30888155,7303.20
30888144,809.20
30888145,3233.40
30888146,5542.00
30888147,6466.80
30888148,693.60
30888152,2879.80
30888141,4814.40
30888153,6035.00
30888142,608.60
30888198,2886.00
30888202,4818.00
30888203,6243.00
30888217,870.00
30888204,3614.40
30888205,4884.00
30888218,602.40
30888222,3162.00
30888223,3126.00
30888224,5514.00
30888160,2925.00
30888161,5434.00
30888162,6292.00
30888159,624.00
30888149,2318.00
30888150,3768.00
30888157,2250.00
30888158,4640.00
30888242,450.00
30888226,1654.96
30888227,2802.96
30888228,3802.96
30888229,1000.00
30888243,450.00
30888230,1654.96
30888231,2802.96
30888232,3802.96
30888233,1000.00
30888244,450.00
30888234,1654.96
30888235,2802.96
30888236,3802.96
30888237,1000.00
30888025,315.00
30888024,315.00
30888023,1332.80
30888022,1332.80
30888116,1870.00
30888117,1870.00
30888181,1068.55
30888182,1068.55
30888183,1196.12
30888184,1196.12
30888252,591.60
30888253,591.60
30888254,443.68
30888255,443.68
30888187,417.25
30888186,604.45
30888128,2996.00
30888129,4270.00
30888220,2016.20
30888209,1193.40
30888177,607.20
30888178,1178.64
30888179,1500.00
30888188,607.20
30888189,1178.64
30888190,1500.00
30888105,4492.80
30888106,6868.80
30888103,4492.80
30888104,6868.80
30888101,3553.20
30888102,4884.00
30888067,6986.18
30888068,10262.70
30888107,5695.00
30888108,10608.00
30888122,2145.00
30888059,2820.83
30888060,2616.88
30888123,2128.00
30888225,2128.00
30888069,15300.00
30888118,23290.00
30888169,2222.00
30888174,2222.00
30888172,5028.67
30888170,5028.67
30888173,7197.15
30888176,7197.15
30888185,10764.29
30888175,10764.29
30888193,2952.00
30888194,2952.00
30888197,2550.00
30888196,4794.00
30888180,21000.00
30888192,21000.00
30888245,2723.20
30888246,6143.20
30888247,11828.00
30888248,24929.60
30888249,8550.00
30888250,11914.00
30888257,4190.00
30888163,600.00
30888164,600.00
30888165,600.00
30888166,700.00
30888167,700.00
30888168,700.00
30888214,516.00
30888212,604.00
30888213,604.00
30888211,604.00
30888210,604.00
30815747,208.00
30815748,524.00
30815749,208.00
30815750,562.00
30888256,694.00
30888064,1753.84
30888063,784.64
30888065,2215.36
30888133,961.00
30888134,1363.00
