#;Артикул;Название;Производитель;Длина, см;Диаметр, мм;Диаметр тяг, мм;Количество тяг;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория;;;;;;;;;;;;;;;;
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;;;;PROP_GIDROKOSTYUMY_TYPE;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2
1;300200/085;Арбалет Voodoo CARBON SAPIENS Open 85  ;Salvimar;85;—;14;2;—;—;219,00 $;—;306,60 $;—;Подводная охота;Арбалеты;2;;;;;;;;;;;;;;;
;300200/095;Арбалет Voodoo CARBON SAPIENS Open 95;Salvimar;95;—;14;2;—;—;222,00 $;—;310,80 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
;300200/105;Арбалет Voodoo CARBON SAPIENS Open 105;Salvimar;105;—;14;2;—;—;225,00 $;—;315,00 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
;300200/115;Арбалет Voodoo CARBON SAPIENS Open 115;Salvimar;115;—;14;2;—;—;219,00 $;—;306,60 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
;300202/115;Арбалет Voodoo ATLANTIS 115 ;Salvimar;115;—;14;3;—;—;154,35 $;—;216,09 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
;300202/125;Арбалет Voodoo ATLANTIS 125 ;Salvimar;125;—;14;3;—;—;157,50 $;—;220,50 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
;300202/135;Арбалет Voodoo ATLANTIS 135 ;Salvimar;135;—;14;3;—;—;160,65 $;—;224,91 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
;300202/145;Арбалет Voodoo ATLANTIS 145 ;Salvimar;145;—;14;3;—;—;163,80 $;—;229,32 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
;300075ROP;Арбалет V-Pro 75   - с катушкой;Salvimar;75;—;19;1;—;—;112,00 $;—;156,80 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
;300085ROP;Арбалет V-Pro 85   - с катушкой;Salvimar;85;—;19;1;—;—;113,00 $;—;158,20 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
;300095ROP;Арбалет V-Pro 95   - с катушкой;Salvimar;95;—;19;1;—;—;114,00 $;—;159,60 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
;300105ROP;Арбалет Voodoo Rail open Pro 105  - с катушкой;Salvimar;105;—;19;1;—;—;115,00 $;—;161,00 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
;300115ROP;Арбалет Voodoo Rail open Pro 115  - с катушкой;Salvimar;115;—;19;1;—;—;116,00 $;—;162,40 $;—;Подводная охота;Арбалеты;;;;;;;;;;;;;;;;
