#;Артикул;Название;Производитель;Длина, см;Диаметр, мм;Тип;Материал;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория;;;;;;;;;;;;;;;;
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;;;;PROP_GIDROKOSTYUMY_TYPE;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2
1;901002D;Гарпун LASER BLADE, 1 флажок ø6,5mm cm.115;Salvimar;115;6,5;Для арбалета;Сталь;—;—;18,00 $;—;25,20 $;—;Подводная охота;Гарпуны;2;;;;;;;;;;;;;;;
;901002F;Гарпун LASER BLADE, 1 флажок ø6,5mm cm.130;Salvimar;130;6,5;Для арбалета;Сталь;—;—;19,00 $;—;26,60 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;901002H;Гарпун LASER BLADE, 1 флажок ø6,5mm cm.150;Salvimar;150;6,5;Для арбалета;Сталь;—;—;20,50 $;—;28,70 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;901003D;Aste LASER BLADE MEDITERRANEO 1 флажок ø7mm cm.115;Salvimar;115;7;Для арбалета;Сталь;—;—;20,00 $;—;28,00 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;901003F;Aste LASER BLADE MEDITERRANEO 1 флажок ø7mm cm.130;Salvimar;130;7;Для арбалета;Сталь;—;—;21,50 $;—;30,10 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;901003H;Aste LASER BLADE MEDITERRANEO 1 флажок ø7mm cm.150;Salvimar;150;7;Для арбалета;Сталь;—;—;23,50 $;—;32,90 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;901003I;Aste LASER BLADE MEDITERRANEO 1 флажок ø7mm cm.160;Salvimar;160;7;Для арбалета;Сталь;—;—;24,00 $;—;33,60 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;901003L;Aste LASER BLADE MEDITERRANEO 1 флажок ø7mm cm.170;Salvimar;170;7;Для арбалета;Сталь;—;—;25,00 $;—;35,00 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;903110W;Гарпун WIRED 1 флажок ø6,5mm cm.110;Salvimar;110;6,5;Для арбалета;Сталь;—;—;19,40 $;—;27,16 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;903115W;Гарпун WIRED 1 флажок ø6,5mm cm.115;Salvimar;115;6,5;Для арбалета;Сталь;—;—;20,00 $;—;28,00 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;903120W;Гарпун WIRED 1 флажок ø6,5mm cm.120;Salvimar;120;6,5;Для арбалета;Сталь;—;—;20,40 $;—;28,56 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;903125W;Гарпун WIRED 1 флажок ø6,5mm cm.125;Salvimar;125;6,5;Для арбалета;Сталь;—;—;20,50 $;—;28,70 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;903130W;Гарпун WIRED 1 флажок ø6,5mm cm.130;Salvimar;130;6,5;Для арбалета;Сталь;—;—;20,80 $;—;29,12 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;903135W;Гарпун WIRED 1 флажок ø6,5mm cm.135;Salvimar;135;6,5;Для арбалета;Сталь;—;—;21,00 $;—;29,40 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;903140W;Гарпун WIRED 1 флажок ø6,5mm cm.140;Salvimar;140;6,5;Для арбалета;Сталь;—;—;21,20 $;—;29,68 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;903150W;Гарпун WIRED 1 флажок ø6,5mm cm.145;Salvimar;145;6,5;Для арбалета;Сталь;—;—;21,60 $;—;30,24 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;903160W;Гарпун WIRED 1 флажок ø6,5mm cm.150;Salvimar;150;6,5;Для арбалета;Сталь;—;—;22,10 $;—;30,94 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;904115W;Гарпун WIRED 1 флажок ø7mm cm.115;Salvimar;115;7;Для арбалета;Сталь;—;—;20,50 $;—;28,70 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;904130W;Гарпун WIRED 1 флажок ø7mm cm.130;Salvimar;130;7;Для арбалета;Сталь;—;—;21,00 $;—;29,40 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;904140W;Гарпун WIRED 1 флажок ø7mm cm.140;Salvimar;140;7;Для арбалета;Сталь;—;—;22,00 $;—;30,80 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;904150W;Гарпун WIRED 1 флажок ø7mm cm.150;Salvimar;150;7;Для арбалета;Сталь;—;—;22,40 $;—;31,36 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;904160W;Гарпун WIRED 1 флажок ø7mm cm.160;Salvimar;160;7;Для арбалета;Сталь;—;—;23,00 $;—;32,20 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;904170W;Гарпун WIRED 1 флажок ø7mm cm.170;Salvimar;170;7;Для арбалета;Сталь;—;—;23,80 $;—;33,32 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;906115W75;Гарпун WIRED ATLANTIS 1 флажок ø7,5mm cm.115;Salvimar;115;7,5;Для арбалета;Сталь;—;—;22,00 $;—;30,80 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;906130W75;Гарпун WIRED ATLANTIS 1 флажок ø7,5mm cm.130;Salvimar;130;7,5;Для арбалета;Сталь;—;—;23,00 $;—;32,20 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;906140W75;Гарпун WIRED ATLANTIS 1 флажок ø7,5mm cm.140;Salvimar;140;7,5;Для арбалета;Сталь;—;—;24,50 $;—;34,30 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;906150W75;Гарпун WIRED ATLANTIS 1 флажок ø7,5mm cm.150;Salvimar;150;7,5;Для арбалета;Сталь;—;—;26,00 $;—;36,40 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;906160W75;Гарпун WIRED ATLANTIS 1 флажок ø7,5mm cm.160;Salvimar;160;7,5;Для арбалета;Сталь;—;—;27,50 $;—;38,50 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;906170W75;Гарпун WIRED ATLANTIS 1 флажок ø7,5mm cm.170;Salvimar;170;7,5;Для арбалета;Сталь;—;—;29,00 $;—;40,60 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;907115W80;Гарпун WIRED ATLANTIS 1 флажок ø8mm cm.115;Salvimar;115;8;Для арбалета;Сталь;—;—;23,00 $;—;32,20 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;907130W80;Гарпун WIRED ATLANTIS 1 флажок ø8mm cm.130;Salvimar;130;8;Для арбалета;Сталь;—;—;24,00 $;—;33,60 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;907140W80;Гарпун WIRED ATLANTIS 1 флажок ø8mm cm.140;Salvimar;140;8;Для арбалета;Сталь;—;—;25,00 $;—;35,00 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;907150W80;Гарпун WIRED ATLANTIS 1 флажок ø8mm cm.150;Salvimar;150;8;Для арбалета;Сталь;—;—;26,00 $;—;36,40 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;907160W80;Гарпун WIRED ATLANTIS 1 флажок ø8mm cm.160;Salvimar;160;8;Для арбалета;Сталь;—;—;27,00 $;—;37,80 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;905145W;Гарпун WIRED ø7,0mm - с резьбой M7x1 cm 145;Salvimar;145;7;Для арбалета;Сталь;—;—;21,00 $;—;29,40 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;905155W;Гарпун WIRED ø7,0mm - с резьбой M7x1 cm 155;Salvimar;155;7;Для арбалета;Сталь;—;—;22,00 $;—;30,80 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;905135WA;Гарпун WIRED ø7,5mm - с резьбой M7x1 cm 135;Salvimar;135;7,5;Для арбалета;Сталь;—;—;22,00 $;—;30,80 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;905145WA;Гарпун WIRED ø7,5mm - с резьбой M7x1 cm 145;Salvimar;145;7,5;Для арбалета;Сталь;—;—;23,00 $;—;32,20 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;905155WA;Гарпун WIRED ø7,5mm - с резьбой M7x1 cm 155;Salvimar;155;7,5;Для арбалета;Сталь;—;—;24,00 $;—;33,60 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;AI500;Гарпун Torsion2 SQUALO нерж.сталь 174PH Ø 6,50mm 115см;Salvimar;115;6,5;Для арбалета;Сталь;—;—;27,34 $;—;38,27 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;AI502;Гарпун Torsion2 SQUALO нерж.сталь 174PH Ø 6,50mm 120см;Salvimar;120;6,5;Для арбалета;Сталь;—;—;27,76 $;—;38,87 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;AI503;Гарпун Torsion2 SQUALO нерж.сталь 174PH Ø 6,50mm 125см;Salvimar;125;6,5;Для арбалета;Сталь;—;—;28,07 $;—;39,29 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;AI505;Гарпун Torsion2 SQUALO нерж.сталь 174PH Ø 6,50mm 130см;Salvimar;130;6,5;Для арбалета;Сталь;—;—;28,37 $;—;39,72 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
;AI507;Гарпун Torsion2 SQUALO нерж.сталь 174PH Ø 6,50mm 135см;Salvimar;135;6,5;Для арбалета;Сталь;—;—;28,67 $;—;40,14 $;—;Подводная охота;Гарпуны;;;;;;;;;;;;;;;;
