#;Артикул;Название;Производитель;Диаметр, мм;Тип;Материал;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория;;;;;;;;;;;;;;;;
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;;;PROP_GIDROKOSTYUMY_TYPE;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2
1;DR-03;Катушка для деко-буя (линь 30м, бронз.карабин);—;—;—;—;—;—;8,00 $;—;13,00 $;—;Подводная охота;Катушки;2;;;;;;;;;;;;;;;
2;DR-03S;Катушка для деко-буя (линь 30м, нерж.карабин);—;—;—;—;—;—;12,00 $;—;20,00 $;—;Подводная охота;Катушки;;;;;;;;;;;;;;;;
3;DR-05S;Катушка для деко-буя (линь 20м, нерж.карабин);—;—;—;—;—;—;11,00 $;—;19,00 $;—;Подводная охота;Катушки;;;;;;;;;;;;;;;;
4;DR-02;Катушка многоцелевая (90м);—;—;—;—;—;—;24,00 $;—;36,00 $;—;Подводная охота;Катушки;;;;;;;;;;;;;;;;
;;Катушка алюминиевая с нержавеющим кронштейном 55мм;Pelengas;;;;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;Катушка алюминиевая с нержавеющим кронштейном 55мм под ружье;;;;;;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
