#;Артикул;Название;Производитель;Размер;Длина, см;Цвет;Материал;Пятка;Лопасть;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория;;;;;;;;;;;;;;;;
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;PROP_GIDROKOSTYUMY_TYPE;;;;;;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2
1;;Ласты Marlin FLORIDA открытая пятка yellow, р-р S-M (38-41);Marlin;38-41;—;Жёлтый;—;Открытая;Не съёмная;—;—;23,47 €;—;35,20 €;—;Подводная охота;Ласты;2;;;;;;;;;;;;;;;
;;Ласты Marlin FLORIDA открытая пятка red, р-р S-M (38-41);Marlin;38-41;—;Красный;—;Открытая;Не съёмная;—;—;23,47 €;—;35,20 €;—;Подводная охота;Ласты;;;;;;;;;;;;;;;;
;;Ласты Marlin FLORIDA открытая пятка blue, р-р L-XL (42-45);Marlin;42-45;—;Синий;—;Открытая;Не съёмная;—;—;24,44 €;—;36,67 €;—;Подводная охота;Ласты;;;;;;;;;;;;;;;;
;;Ласты Marlin FLORIDA открытая пятка black, р-р L-XL (42-45);Marlin;42-45;—;Чёрный;—;Открытая;Не съёмная;—;—;24,44 €;—;36,67 €;—;Подводная охота;Ласты;;;;;;;;;;;;;;;;
;;Ласты Marlin MIAMI закрытая пятка blue, р-р 40-41 (ML);Marlin;40-41;—;Синий;—;—;Не съёмная;—;—;16,82 €;—;25,23 €;—;Подводная охота;Ласты;;;;;;;;;;;;;;;;
;;Ласты Marlin MIAMI закрытая пятка silver, р-р 40-41 (ML);Marlin;40-41;—;Серый;—;—;Не съёмная;—;—;16,82 €;—;25,23 €;—;Подводная охота;Ласты;;;;;;;;;;;;;;;;
;;Резинки для ласт Marlin FLORIDA NEW!!!;Marlin;—;—;—;—;—;—;—;—;5,00 €;—;7,50 €;—;Подводная охота;Ласты;;;;;;;;;;;;;;;;
;88A;"Ласты ""Comandos"", цельнорезиновые, размер XL, XXL";BS Diver;M,L,XL,XXL;—;Чёрный;—;Закрытая;Не съёмная;—;—;20,00 €;—;30,00 €;—;Подводная охота;Ласты;;;;;;;;;;;;;;;;
;F300;"Ласты ""Comandos-2"", цельнорезиновые, размер 42-44";BS Diver;M,L,XL,XXL;—;Чёрный;—;Закрытая;Не съёмная;—;—;20,00 €;—;30,00 €;—;Подводная охота;Ласты;;;;;;;;;;;;;;;;
;;"Ласты ""ORCA"" охотничьи, сменная пластиковая лопасть, размеры 43-44, 45-46, 47-48, 49-50";BS Diver;43-44,45-46,47-48,49-50;—;Чёрный;—;Закрытая;Съёмная;—;—;52,00 €;—;78,00 €;—;Подводная охота;Ласты;;;;;;;;;;;;;;;;
