#;Артикул;Название;Производитель;Вес, кг;Длина, м;Диаметр, мм;Материал;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория;;;;;;;;;;;;;;;;
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;;;;PROP_GIDROKOSTYUMY_TYPE;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2
1;400305;Катушечный линь Клайнема SPline - ø1,4mm - 250kg - 50m;Salvimar;250;50;1,4;Клайнема;—;—;33,08 $;—;46,31 $;—;Подводная охота;Лини;2;;;;;;;;;;;;;;;
;400310;Катушечный линь Клайнема SPline - ø1,9mm - 380kg - 50m;Salvimar;380;50;1,9;Клайнема;—;—;42,21 $;—;59,09 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;400316;Линь для арбалетов SPline in Climax - ø1,05 - 155kg - оранжевый - 50mt;Salvimar;155;50;1,5;Клайнема;—;—;20,79 $;—;29,11 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;400317;Линь для арбалетов SPline in Climax - ø1,25 - 210kg -оранжевый - 50mt;Salvimar;210;50;1,25;Клайнема;—;—;26,46 $;—;37,04 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;400320;Линь для арбалетов SPline in Climax - ø1,7 - 350kg -оранжевый - 50mt;Salvimar;350;50;1,7;Клайнема;—;—;40,95 $;—;57,33 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;400323;Катушечный линь Дайнема 1,5мм, катушка 100м, мах. напряжение 120кг;Salvimar;120;100;1,5;Dyneema;—;—;26,46 $;—;37,04 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;400326;Катушечный линь Дайнема 2мм, катушка 100м, мах. напряжение 240кг;Salvimar;240;100;2;Dyneema;—;—;39,06 $;—;54,68 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;400330;Катушечный линь Полиэстер ø1,7mm - чёрный - 100mt;Salvimar;90;100;1,7;Полиэстер;—;—;16,44 $;—;23,02 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;400510;Буй-линь эластичный BUNGEETECH (4м, растяжимость - 16м, 80кг);Salvimar;80;16;5;—;—;—;14,00 $;—;19,60 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;AP051;Набор зажимов для линя ø1,6mm - 25 шт;Salvimar;—;—;1,6;—;—;—;3,00 $;—;4,20 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;AP051/2;Набор зажимов для линя ø2,3mm - 25 шт;Salvimar;—;—;2,3;—;—;—;3,60 $;—;5,04 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;400270/16;Набор зажимов для линя ø1,6mm - 500 шт;Salvimar;—;—;1,6;—;—;—;27,00 $;—;37,80 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;400270/23;Набор зажимов для линя ø2,3mm - 500 шт;Salvimar;—;—;2,3;—;—;—;54,00 $;—;75,60 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;AP070/20;Карабин проволочный, стальной нержавеющий ø2,0 x 8cm - 50Kg;Salvimar;50;—;2;—;—;—;2,30 $;—;3,21 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;AP070/26;Карабин проволочный стальной нержавеющий ø2,6 x 10cm - 100Kg;Salvimar;100;—;—;—;—;—;2,45 $;—;3,43 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
;AP071;Вертлюг стальной нержавеющий Heavy Duty - ø10,5 x 34mm - 550кг;Salvimar;550;—;—;—;—;—;1,40 $;—;1,96 $;—;Подводная охота;Лини;;;;;;;;;;;;;;;;
