#;Артикул;Название;Производитель;Тип;Цвет;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория;;;;;;;;;;;;;;;;
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;PROP_GIDROKOSTYUMY_TYPE;;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2
1;;Маска Marlin BIG PANORAMIC  black  (трехстекольная);Marlin;Трехстекольная;Чёрный;—;—;25,50 €;—;38,25 €;—;Подводная охота;Маски;2;;;;;;;;;;;;;;;
;;Маска Marlin PANORAMIC black (четырехстекольная);Marlin;Четырехстекольная;Чёрный;—;—;25,50 €;—;38,25 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin VISUALATOR black;Marlin;Одностекольная;Чёрный;—;—;22,40 €;—;33,60 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin VISUALATOR titan/black ;Marlin;Одностекольная;Чёрный;—;—;22,40 €;—;33,60 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin FRAMELESS black (безрамочная) СПЕЦПРЕДЛОЖЕНИE;Marlin;Одностекольная;Чёрный;—;—;17,70 €;—;25,67 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin FRAMELESS DUO black (безрамочная);Marlin;Одностекольная;Чёрный;—;—;26,00 €;—;39,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin FRAMELESS EXCEL black  (безрамочная);Marlin;Одностекольная;Чёрный;—;—;23,50 €;—;35,25 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin FRAMELESS UNO black (безрамочная);Marlin;Одностекольная;Чёрный;—;—;20,00 €;—;30,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin SUPERBA black СПЕЦПРЕДЛОЖЕНИE;Marlin;Двустекольная;Чёрный;—;—;17,70 €;—;25,67 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin TURBO black СПЕЦПРЕДЛОЖЕНИE;Marlin;Двустекольная;Чёрный;—;—;17,10 €;—;24,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin HUNTER black СПЕЦПРЕДЛОЖЕНИE;Marlin;Двустекольная;Чёрный;—;—;16,80 €;—;24,36 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin HUNTER black + просветленные стекла ;Marlin;Двустекольная;Чёрный;—;—;26,00 €;—;39,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin LOOK black  (классика);Marlin;Одностекольная;Чёрный;—;—;18,30 €;—;27,45 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin TWIST black ;Marlin;Двустекольная;Чёрный;—;—;22,00 €;—;33,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin TWIST blue;Marlin;Двустекольная;Синий;—;—;22,00 €;—;33,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin HYBRID karbon  (рамка окрашена под карбон);Marlin;Двустекольная;Чёрный;—;—;23,80 €;—;35,70 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin HYBRID karbon +просветленные стекла ;Marlin;Двустекольная;Чёрный;—;—;27,20 €;—;40,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin CAMO brown  просветленные стекла (коричневый камуфляж);Marlin;Двустекольная;Камуфляж;—;—;25,70 €;—;38,55 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin MATTE black  (минимальное подмасочное пространство, матовый силикон);Marlin;Двустекольная;Чёрный;—;—;23,30 €;—;34,95 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Маска Marlin CUBA blue/red/yellow clear sil.;Marlin;Двустекольная;Прозрачный;—;—;18,00 €;—;27,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Бокс под маски Marlin;Marlin;—;Прозрачный;—;—;3,80 €;—;5,70 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Застежка к маске Marlin;Marlin;—;Чёрный;—;—;3,00 €;—;4,50 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Ремешок к маске Marlin анатомический;Marlin;—;Чёрный;—;—;4,40 €;—;6,60 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Ремень для маски Marlin 22 мм (Look, Uno);Marlin;—;Чёрный;—;—;3,00 €;—;4,50 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Ремень для маски Marlin 11 мм;Marlin;—;Чёрный;—;—;3,00 €;—;4,50 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;M-83;"Маска ""3-VIZION"" чёрный силикон, трёхстёкольная";BS Diver;Трехстекольная;Чёрный;—;—;28,00 €;—;42,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;WM09;"Маска ""3-VIZION MID"" чёрный силикон, трёхстёкольная";BS Diver;Трехстекольная;Чёрный;—;—;27,00 €;—;40,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;"Маска ""VENOM"" черный силикон, моностекло, безрамочная";BS Diver;Одностекольная;Чёрный;—;—;20,00 €;—;30,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;YM-61;"Маска ""FROG"" чёрный силикон, двустёкольная";BS Diver;Двустекольная;Чёрный;—;—;18,00 €;—;27,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;GM05;"Маска ""APNOICUS"" чёрный силикон, двустёкольная";BS Diver;Двустекольная;Чёрный;—;—;18,00 €;—;27,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;WM-08;"Маска ""ASTRA"" чёрный силикон, двустёкольная";BS Diver;Двустекольная;Чёрный;—;—;18,00 €;—;29,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;"Маска ""CEFALO"" чёрный силикон, двустёкольная, камуфлированная";BS Diver;Двустекольная;Чёрный;—;—;15,00 €;—;22,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;WM-01;"Маска ""DRAGON"" чёрный силикон, двустёкольная";BS Diver;Двустекольная;Чёрный;—;—;18,00 €;—;29,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;YM-54;"Маска ""MIROMAX"" чёрный силикон, двустёкольная, тонированная";BS Diver;Двустекольная;Чёрный;—;—;23,00 €;—;36,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;YM-72BS;"Маска ""MIROLA"" чёрный силикон, двустёкольная, тонированная";BS Diver;Двустекольная;Чёрный;—;—;23,00 €;—;36,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;M-11;"Маска ""Extra"" чёрный силикон, моностекло, с клапаном";BS Diver;Одностекольная;Чёрный;—;—;22,00 €;—;33,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;"Маска ""AURORA"" чёрный силикон, моностекло";BS Diver;Одностекольная;Чёрный;—;—;22,00 €;—;33,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;WM03BS;"Маска ""FOX MID"" чёрный силикон, моностекло";BS Diver;Одностекольная;Чёрный;—;—;19,00 €;—;30,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;M-41;"Маска ""FOX"" чёрный силикон, моностекло";BS Diver;Одностекольная;Чёрный;—;—;20,00 €;—;33,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;M22BS ;"Маска ""HUMMER"" чёрный силикон, моностекло";BS Diver;Одностекольная;Чёрный;—;—;22,00 €;—;35,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;M-25BS;"Маска ""MATADOR"" чёрный силикон, моностекло";BS Diver;Одностекольная;Чёрный;—;—;20,00 €;—;30,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;WM-05;"Маска ""SUPERVIZOR"" чёрный силикон, моностекло";BS Diver;Одностекольная;Чёрный;—;—;20,00 €;—;35,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;"Маска ""SEAL""";BS Diver;Двустекольная;Чёрный;—;—;19,00 €;—;38,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;"Маска ""RUBY"" чёрный силикон, двустёкольная";BS Diver;Двустекольная;Чёрный;—;—;18,00 €;—;30,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Диоптрийные стекла к маске APNOICUS  -1, -1,5, -2, -2,5, -3, -3,5, -4, -4,5, -5, -5,5, - 6, -6,5, - 7, -7,5, -8 (штука);BS Diver;Двустекольная;—;—;—;16,00 €;—;26,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Диоптрийные тонированные стекла к маске MIROLA  -1, -1,5, -2, -2,5, -3, -3,5, -4, -5(штука);BS Diver;Двустекольная;—;—;—;20,00 €;—;30,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Ремешок силиконовый для масок BS DIVER;BS Diver;—;Чёрный;—;—;3,00 €;—;5,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;;Коробка для маски;BS Diver;—;Прозрачный;—;—;3,00 €;—;5,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS365050;NANO;Cressi;Двустекольная;Чёрный;—;—;44,50 €;—;62,30 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS365050;NANO;Cressi;Двустекольная;—;—;—;36,00 €;—;50,40 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS366050 ;NANO BLACK HD MIRRORED LENS (зеркальные стёкла);Cressi;Двустекольная;Чёрный;—;—;42,00 €;—;58,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS355010;EYES EVOLUTION CRYSTAL;Cressi;Двустекольная;Прозрачный;—;—;27,00 €;—;37,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS355020;EYES EVOLUTION CRYSTAL;Cressi;Двустекольная;Синий;—;—;27,00 €;—;37,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS355050;EYES EVOLUTION CRYSTAL;Cressi;Двустекольная;Камуфляж;—;—;27,00 €;—;37,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS355098;EYES EVOLUTION CRYSTAL;Cressi;Двустекольная;Чёрный;—;—;27,00 €;—;37,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS336550;BIG EYES EVOLUTION;Cressi;Двустекольная;Чёрный;—;—;36,00 €;—;50,40 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS336950;BIG EYES EVOLUTION HD MIRRORED LENS (зеркальные стёкла);Cressi;Двустекольная;Чёрный;—;—;44,00 €;—;61,60 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS335050;PIUMA EVOLUTION CRYSTAL;Cressi;Двустекольная;Чёрный;—;—;37,00 €;—;51,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS295050;OCCHIO PLUS;Cressi;Двустекольная;Чёрный;—;—;22,00 €;—;30,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS322050;PENTA ;Cressi;Двустекольная;Прозрачный;—;—;36,00 €;—;50,40 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS301010;MATRIX ;Cressi;Двустекольная;Чёрный;—;—;29,00 €;—;40,60 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS301020;MATRIX ;Cressi;Двустекольная;Синий;—;—;29,00 €;—;40,60 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS302050;MATRIX ;Cressi;Двустекольная;Красный;—;—;29,00 €;—;40,60 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS302099;MATRIX ;Cressi;Двустекольная;—;—;—;29,00 €;—;40,60 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS312050;LINCE;Cressi;Двустекольная;—;—;—;26,00 €;—;36,40 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS262020;BIG EYES;Cressi;Двустекольная;—;—;—;24,00 €;—;33,60 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS262050;BIG EYES;Cressi;Двустекольная;—;—;—;24,00 €;—;33,60 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS242010;FOCUS;Cressi;Двустекольная;—;—;—;22,00 €;—;30,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS242020;FOCUS;Cressi;Двустекольная;—;—;—;22,00 €;—;30,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS242050;FOCUS;Cressi;Двустекольная;—;—;—;22,00 €;—;30,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS292050;MINIMA;Cressi;Двустекольная;—;—;—;20,00 €;—;28,00 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;ZDN283000 ;F1 WHITE ;Cressi;Одностекольная;—;—;—;32,00 €;—;44,80 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
;DS339995;NEOPRENE STRAP (неопреновый чехол на ремешок маски);Cressi;—;—;—;—;6,50 €;—;9,10 €;—;Подводная охота;Маски;;;;;;;;;;;;;;;;
