#;Артикул;Название;Производитель;Длина, см;Резьба, мм;Диаметр, мм;Тип;Материал;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория;;;;;;;;;;;;;;;;
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;;;;;PROP_GIDROKOSTYUMY_TYPE;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2
1;;Наконечник (комплет) корона + 4-хгранный, 1 флажок;M-SUB;12,2;7;8;Однозубые;Сталь;—;—;9,00 $;—;13,50 $;—;Подводная охота;Наконечники;2;;;;;;;;;;;;;;;
;;Наконечник 3-х гранный, 1 флажок;M-SUB;11;7;9;Однозубые;Сталь;—;—;6,00 $;—;9,00 $;—;Подводная охота;Наконечники;;;;;;;;;;;;;;;;
;;Наконечник 4-х гранный, 1 флажок;M-SUB;10,4;7;9;Однозубые;Сталь;—;—;6,00 $;—;9,00 $;—;Подводная охота;Наконечники;;;;;;;;;;;;;;;;
;;Наконечник для камыша со сменным жалом;M-SUB;11,7;7;9;Однозубые;Сталь;—;—;5,50 $;—;8,25 $;—;Подводная охота;Наконечники;;;;;;;;;;;;;;;;
;;"Наконечник типа ""корона"", 1 флажок";M-SUB;11;7;8;Однозубые;Сталь;—;—;7,00 $;—;10,50 $;—;Подводная охота;Наконечники;;;;;;;;;;;;;;;;
;;Сменное жало для наконечника;M-SUB;2,7;5;5;Однозубые;Сталь;—;—;2,00 $;—;3,00 $;—;Подводная охота;Наконечники;;;;;;;;;;;;;;;;
;;"Сменное жало для наконечника ""корона""";M-SUB;4,5;7;12;Однозубые;Сталь;—;—;3,00 $;—;4,50 $;—;Подводная охота;Наконечники;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
;;;—;—;—;—;—;—;—;—;;—;;—;;;;;;;;;;;;;;;;;;
