#;Артикул;Название;Производитель;Вес, гр;Длина лезвия, см;Толщина, мм;Стропорез;Пилообразная заточка;Материал;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория;;;;;;;;;;;;;;;;
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;;;;;;;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2
1;;Нож Marlin TRITON stainless steel;Marlin;45;8,8;3;нет;да;Нержавеющая сталь;—;—;14,67 $;—;22,00 $;—;Подводная охота;Ножи;2;;;;;;;;;;;;;;;
;;Нож Marlin MINI titanium;Marlin;170;12,5;3,5;нет;да;Нержавеющая сталь;—;—;24,44 $;—;36,67 $;—;Подводная охота;Ножи;;;;;;;;;;;;;;;;
;;Нож Marlin PACIFIC stainless steel;Marlin;180;12,5;3,5;да;—;Нержавеющая сталь;—;—;27,38 $;—;41,07 $;—;Подводная охота;Ножи;;;;;;;;;;;;;;;;
;;Нож Marlin PACIFIC titanium;Marlin;180;12,5;3,5;да;—;Титан;—;—;50,84 $;—;76,27 $;—;Подводная охота;Ножи;;;;;;;;;;;;;;;;
;;Нож Marlin ATLANTIC titanium;Marlin;115;12,5;3,5;да;—;Титан;—;—;50,84 $;—;76,27 $;—;Подводная охота;Ножи;;;;;;;;;;;;;;;;
;;Нож Marlin ABORDAZH stainless steel;Marlin;180;12,5;3,5;да;—;Нержавеющая сталь;—;—;28,33 $;—;42,49 $;—;Подводная охота;Ножи;;;;;;;;;;;;;;;;
;;Нож Marlin STILET stainless steel;Marlin;170;12,5;3,5;—;да;Нержавеющая сталь;—;—;28,33 $;—;42,49 $;—;Подводная охота;Ножи;;;;;;;;;;;;;;;;
;;Нож Marlin STROPOREZ stainless steel;Marlin;180;12,5;3,5;да;—;Нержавеющая сталь;—;—;29,33 $;—;44,00 $;—;Подводная охота;Ножи;;;;;;;;;;;;;;;;
;;Кобура Marlin NEOPRENE HOLDER;Marlin;—;—;3;—;—;Нержавеющая сталь;—;—;12,00 $;—;18,00 $;—;Подводная охота;Ножи;;;;;;;;;;;;;;;;
;;Ремешок для ножа Marlin  46 см;Marlin;—;—;—;—;—;Нержавеющая сталь;—;—;1,50 $;—;2,25 $;—;Подводная охота;Ножи;;;;;;;;;;;;;;;;
