#;Артикул;Название;Производитель;Тип;Длина, см;Диаметр, мм;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория;;;;;;;;;;;;;;;;
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;PROP_GIDROKOSTYUMY_TYPE;;;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2
1;306055V;PREDATHOR VUOTO 55 (с вакуумным надульником и регулятором боя);Salvimar;С регулятором мощности;55;—;—;—;105,00 €;—;147,00 €;—;Подводная охота;Ружья;2;;;;;;;;;;;;;;;
;306065V;PREDATHOR VUOTO 65 (с вакуумным надульником и регулятором боя);Salvimar;С регулятором мощности;65;—;—;—;108,00 €;—;151,20 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;306040S;PREDATHOR VUOTO 40 SPECIAL (с вакуумным надульником, без регулятора боя);Salvimar;Без регулятора мощности;40;—;—;—;83,00 €;—;116,20 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;306055S;PREDATHOR VUOTO 55 SPECIAL (с вакуумным надульником, без регулятора боя);Salvimar;Без регулятора мощности;55;—;—;—;88,00 €;—;123,20 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;306065S;PREDATHOR VUOTO 65 SPECIAL (с вакуумным надульником, без регулятора боя);Salvimar;Без регулятора мощности;65;—;—;—;91,00 €;—;127,40 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;306055P;PREDATHOR PLUS 55 (с регулятором боя);Salvimar;С регулятором мощности;55;—;—;—;85,00 €;—;119,00 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;306065P;PREDATHOR PLUS 65 (с регулятором боя);Salvimar;С регулятором мощности;65;—;—;—;88,00 €;—;123,20 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;306040;PREDATHOR  40;Salvimar;Без регулятора мощности;40;—;—;—;66,00 €;—;92,40 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;306055;PREDATHOR  55;Salvimar;Без регулятора мощности;55;—;—;—;68,00 €;—;95,20 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;306065;PREDATHOR  65;Salvimar;Без регулятора мощности;65;—;—;—;72,00 €;—;100,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;305030A;Vintair 50 VUOTO;Salvimar;Без регулятора мощности;50;—;—;—;69,70 €;—;83,64 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;305030B;Vintair 65 VUOTO;Salvimar;Без регулятора мощности;65;—;—;—;73,10 €;—;87,72 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;305010;Vintair 50 Plus;Salvimar;С регулятором мощности;50;—;—;—;55,25 €;—;66,30 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;305012;Vintair 65 Plus;Salvimar;С регулятором мощности;65;—;—;—;57,80 €;—;69,36 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;305014;Vintair 75 Plus;Salvimar;С регулятором мощности;75;—;—;—;61,20 €;—;73,44 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;305016;Vintair 85 Plus;Salvimar;С регулятором мощности;85;—;—;—;64,60 €;—;77,52 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;305000;Vintair 35;Salvimar;Без регулятора мощности;35;—;—;—;49,30 €;—;59,16 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;305002;Vintair 50;Salvimar;Без регулятора мощности;50;—;—;—;51,00 €;—;61,20 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;305004;Vintair 65;Salvimar;Без регулятора мощности;65;—;—;—;54,40 €;—;65,28 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;305006;Vintair 75;Salvimar;Без регулятора мощности;75;—;—;—;56,10 €;—;67,32 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;301006;Рукоятка в комплекте с триггером для VOODOO;Salvimar;—;—;—;—;—;27,00 €;—;37,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;301018;Триггерный механизм в комплекте;Salvimar;—;—;—;—;—;16,00 €;—;22,40 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;301009;Съёмный упор для зарядки ружья;Salvimar;—;—;—;—;—;3,50 €;—;4,90 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;301011;Короткая труба с адаптором для катушки;Salvimar;—;—;—;—;—;3,00 €;—;4,20 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;301013;Головная часть для ружья Voodoo open;Salvimar;—;—;—;—;—;9,00 €;—;12,60 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;301014;Головная часть для ружья Voodoo;Salvimar;—;—;—;—;—;11,00 €;—;15,40 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;301012;Головная часть для ружья Intruder;Salvimar;—;—;—;—;—;7,00 €;—;9,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;301015;Съёмный пластиковый мост головной части ;Salvimar;—;—;—;—;—;1,00 €;—;1,40 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;301016;Короткая труба головной части;Salvimar;—;—;—;—;—;3,00 €;—;4,20 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;301017;Проводник линя;Salvimar;—;—;—;—;—;0,80 €;—;1,12 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;LFUC100/75;Аллюминиевая труба для VOODOO RAIL OPEN 75;Salvimar;—;75;—;—;—;13,50 €;—;18,90 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;LFUC100/85;Аллюминиевая труба для VOODOO RAIL OPEN 85;Salvimar;—;85;—;—;—;14,20 €;—;19,88 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;LFUC100/95;Аллюминиевая труба для VOODOO RAIL OPEN 95;Salvimar;—;95;—;—;—;14,80 €;—;20,72 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;LFUC100/105;Аллюминиевая труба для VOODOO RAIL OPEN 105;Salvimar;—;105;—;—;—;15,50 €;—;21,70 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;LFUC100/115;Аллюминиевая труба для VOODOO RAIL OPEN 115;Salvimar;—;115;—;—;—;15,50 €;—;21,70 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;302000A;Вакуумная головная часть VUOTO для ружей SL, STEN, VINTAIR;Salvimar;—;—;—;—;—;27,00 €;—;37,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;302000B;Вакуумная головная часть VUOTO для ружей CYRANO;Salvimar;—;—;—;—;—;27,00 €;—;37,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;LFUCPNEUM24;Набор вакуумных манжет для VUOTO CYRANO (3 шт);Salvimar;—;—;—;—;—;6,00 €;—;8,40 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;302001A;Демпфер для VUOTO;Salvimar;—;—;—;—;—;2,00 €;—;2,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;302001B;Пневмовакуумный демпфер для 8 мм гарпунов;Salvimar;—;—;—;—;—;2,00 €;—;2,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;LFUCPNEUMKIT01;Набор О-рингов к ружьям VINTAIR и VINTAIR+;Salvimar;—;—;—;—;—;5,00 €;—;7,00 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;LFUCPNEUMKIT 101;Поршень Vintair;Salvimar;—;—;—;—;—;5,00 €;—;7,00 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;302040A;Поршень STEN                 ;Salvimar;—;—;—;—;—;5,00 €;—;7,00 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;302040B;STEN Complete muzzle KIT;Salvimar;—;—;—;—;—;7,00 €;—;9,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;302042A;Поршень CYRANO;Salvimar;—;—;—;—;—;5,00 €;—;7,00 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;302042B;CYRANO Complete muzzle KIT ;Salvimar;—;—;—;—;—;7,00 €;—;9,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;302044A;Поршень SL;Cressi;—;—;—;—;—;5,00 €;—;7,00 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;LFUCPNEUMKIT02;Демпфер надульника;Salvimar;—;—;—;—;—;3,50 €;—;4,90 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;LFUCPNEUM103;Ремонтный комплект головной части;Salvimar;—;—;—;—;—;11,00 €;—;15,40 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;LFUCPNEUMKIT06;Комплект линесбрасывателя;Salvimar;—;—;—;—;—;2,00 €;—;2,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;FR387000;SAETTA 70;Cressi;Без регулятора мощности;70;—;—;—;93,00 €;—;130,20 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;FR385500;SAETTA 55;Cressi;Без регулятора мощности;55;—;—;—;87,00 €;—;121,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;FR384000;SAETTA 40;Cressi;Без регулятора мощности;40;—;—;—;83,00 €;—;116,20 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;FR374000;SL/STAR 40;Cressi;Без регулятора мощности;40;—;—;—;70,00 €;—;98,00 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;FR375500;SL/STAR 55;Cressi;Без регулятора мощности;55;—;—;—;74,00 €;—;103,60 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;FR377000;SL/STAR 70;Cressi;Без регулятора мощности;70;—;—;—;80,00 €;—;112,00 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;FS361500;SL 55;Cressi;С регулятором мощности;55;—;—;—;89,00 €;—;124,60 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;FS362500;SL 70;Cressi;С регулятором мощности;70;—;—;—;92,00 €;—;128,80 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;FA390030;NYLON Ø 2,5 mm (200 mt);Cressi;—;—;2.5;—;—;37,50 €;—;52,50 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
;FA390018;SHAFT LOADER (заряжалка);Cressi;—;—;—;—;—;1,50 €;—;2,10 €;—;Подводная охота;Ружья;;;;;;;;;;;;;;;;
