#;Артикул;Название;Производитель;Тип;Цвет;Материал;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория;;;;;;;;;;;;;;;;
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;PROP_GIDROKOSTYUMY_TYPE;;;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2
1;;Трубка Marlin ULTRA black волноотбойник, нижний клапан. NEW!!!;Marlin;С клапаном;Чёрный;—;—;—;9,60 €;—;14,40 €;—;Подводная охота;Трубки;2;;;;;;;;;;;;;;;
;;Трубка Marlin HAVANA blue/red/yellow изогнутая гофра, с верхним клапаном;Marlin;С клапаном;—;—;—;—;9,80 €;—;14,70 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Трубка Marlin FLASH black нижний клапан.;Marlin;С клапаном;Чёрный;—;—;—;10,30 €;—;15,45 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Трубка Marlin WAVE black волноотбойник, нижний клапан.;Marlin;С клапаном;Чёрный;—;—;—;11,30 €;—;16,95 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Трубка Marlin DRY MAX black, прямая гофра, с верхним клапаном;Marlin;С клапаном;Чёрный;—;—;—;13,20 €;—;19,80 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Трубка Marlin DRY MAX black, изогнутая гофра, с верхним клапаном;Marlin;С клапаном;Чёрный;—;—;—;13,20 €;—;19,80 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Трубка Marlin CLASSIC black (жесткая, классическая);Marlin;Без клапана;Чёрный;—;—;—;7,30 €;—;10,95 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Трубка Marlin CLASSIC SOFT black (мягкая, классическая);Marlin;Без клапана;Чёрный;—;—;—;9,80 €;—;14,70 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Трубка Marlin HUNTER black (жесткая, классическая);Marlin;Без клапана;Чёрный;—;—;—;7,30 €;—;10,95 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Трубка Marlin MATTE black  (мягкая, классическая, матовый силикон);Marlin;Без клапана;Чёрный;—;—;—;9,80 €;—;14,70 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Загубник Marlin COMFORT;Marlin;—;—;—;—;—;4,00 €;—;6,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Загубник Marlin LADY;Marlin;—;—;—;—;—;4,00 €;—;6,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Загубник Marlin STANDART;Marlin;—;—;—;—;—;3,00 €;—;4,50 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Загубник Marlin для трубок CLASSIC, SOFT;Marlin;—;—;—;—;—;4,00 €;—;6,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Загубник Marlin для трубки MATTE  NEW!!!;Marlin;—;—;—;—;—;4,30 €;—;6,45 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Держатель для трубки Marlin;Marlin;—;—;—;—;—;3,50 €;—;5,25 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;Держатель для трубки O-O Marlin;Marlin;—;—;—;—;—;0,90 €;—;1,35 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;GSN-15;"Трубка ""Fox"" с клапаном";BS Diver;С клапаном;—;—;—;—;4,00 €;—;8,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;WS13C;"Трубка ""Aaron Dry 2"" с верхним и нижним клапанами и изогнутой гофрой";BS Diver;С клапаном;—;—;—;—;13,00 €;—;22,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;WS13A;"Трубка ""Aaron Dry 1"" с верхним и нижним клапанами и прямой гофрой";BS Diver;С клапаном;—;—;—;—;14,00 €;—;23,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;GSN-09A;"Трубка ""Doble W"" с двумя клапанами";BS Diver;С клапаном;—;—;—;—;4,00 €;—;8,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;SN-36;Трубка бесклапанная, гибкая;BS Diver;Без клапана;—;—;—;—;8,00 €;—;12,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;"Трубка ""CEFALO"" бесклапанная, камуфлированная";BS Diver;Без клапана;—;—;—;—;6,00 €;—;9,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;MP-24;"Загубник ""COMFORT"" анатомический (чёрн.силикон)";BS Diver;—;—;—;—;—;3,00 €;—;5,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;"Загубник ""JAX"" (чёрн.силикон)";BS Diver;—;—;—;—;—;3,00 €;—;5,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;"Загубник ""JAX"" (прозрачный силикон)";BS Diver;—;—;—;—;—;3,00 €;—;5,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;AR103;Трубка TRIBAL soft - чёрная  ;Salvimar;Без клапана;Чёрный;—;—;—;7,00 €;—;9,80 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;700100G;Трубка SILICONAIR Green - зелёная   ;Salvimar;Без клапана;—;—;—;—;9,00 €;—;12,60 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;700100B;Трубка SILICONAIR Black- чёрная;Salvimar;Без клапана;Чёрный;—;—;—;9,00 €;—;12,60 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;ES258020;ALPHA DRY;Cressi;С клапаном;—;—;—;—;19,00 €;—;26,60 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;ES257020;BETA;Cressi;С клапаном;—;—;—;—;15,00 €;—;21,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;ES259550;DRY;Cressi;С клапаном;—;—;—;—;13,00 €;—;18,20 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;ES258960;DRY JUNIOR;Cressi;С клапаном;—;—;—;—;10,50 €;—;14,70 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;ES269099;TOP (Lady - Junior);Cressi;С клапаном;—;—;—;—;8,00 €;—;11,20 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;EG265500;MINIGRINGO (Junior);Cressi;Без клапана;Прозрачный;—;—;—;4,00 €;—;5,60 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;EG267050;AMERICA;Cressi;Без клапана;Чёрный;—;—;—;9,50 €;—;13,30 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;EG269010;MEXICO;Cressi;С клапаном;Чёрный;—;—;—;5,50 €;—;7,70 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;EG268550;CORSICA;Cressi;Без клапана;Чёрный;—;—;—;10,50 €;—;14,70 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;EZ260003;Держатель для трубки (двойное кольцо);Cressi;—;—;—;—;—;0,50 €;—;0,70 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
;;"Трубка DUAL (зёлена)
";Mares;Без клапана;Зёленый;—;—;—;;—;17,00 €;—;Подводная охота;Трубки;;;;;;;;;;;;;;;;
