#;Артикул;Название;Производитель;Тип;Световой поток, лм;Рабочая глубина (max), м;Время работы, час;Питание;Кол-во эл. питания;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория;;;;;;;;;;;;;;;;
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;;;;;;;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2
1;;Фонарь Marlin DIVE led;Marlin;Светодиодные;800;100;2;Аккумулятор18650;2;—;—;58,70 $;—;88,00 $;—;Подводная охота;Фонари;2;;;;;;;;;;;;;;;
;;Модуль Светодиодный ;Marlin;Светодиодные;—;—;—;—;—;—;—;14,00 $;—;21,00 $;—;Подводная охота;Фонари;;;;;;;;;;;;;;;;
;D10221561;Brightstar Darkbuster 24 W HID 5,2 A/ч;Brighstar;Галогеновые;1750;60;2;Аккумулятор Li-ion;1;—;—;200,00 $;—;260,00 $;—;Подводная охота;Фонари;;;;;;;;;;;;;;;;
;2b0500058;Brightstar Хомуты на предплечье с велкро для Darkbuster Junior (пара);Brighstar;—;—;—;—;—;—;—;—;8,00 $;—;12,00 $;—;Подводная охота;Фонари;;;;;;;;;;;;;;;;
;2B0400110;Brightstar YS-Адаптор;Brighstar;—;—;—;—;—;—;—;—;14,00 $;—;20,00 $;—;Подводная охота;Фонари;;;;;;;;;;;;;;;;
;6L2400302;Brightstar Лампа 24 W для DARKBUSTER;Brighstar;Галогеновые;—;—;—;—;—;—;—;79,00 $;—;118,00 $;—;Подводная охота;Фонари;;;;;;;;;;;;;;;;
;;Универсальный комплект зарядного устройства (автомобильный, 220В, контролер) для DB;Brighstar;—;—;—;—;—;—;—;—;32,00 $;—;50,00 $;—;Подводная охота;Фонари;;;;;;;;;;;;;;;;
;2B0500036-01;Батарея ли-ион 5200 mA/ч для DB Junior, Led-12, DB 24W;Brighstar;—;—;—;—;—;—;—;—;93,00 $;—;120,00 $;—;Подводная охота;Фонари;;;;;;;;;;;;;;;;
;3B9018001;Brightstar Светодиодный модуль LED-12 (с радиатором);Brighstar;—;—;—;—;—;—;—;—;59,00 $;—;82,00 $;—;Подводная охота;Фонари;;;;;;;;;;;;;;;;
;D30303101;Фонарь Brightstar Darkbuster LED-3 E (3 батареи ААА);Brighstar;Светодиодные;250;100;4;АА;3;—;—;10,00 $;—;18,00 $;—;Подводная охота;Фонари;;;;;;;;;;;;;;;;
