#;Артикул;Название;Производитель;Тощина, мм;Цвет;Материал;Покрытие внешнее;Покрытие внутреннее;;;;;;;;;;;;;;;;;Подошва;Размер;Статус;Гарантия;Оптовая цена;Оптовая валюта;Розничная цена;Розничная валюта;Категория;Подкатегория
IE_XML_ID;PROP_SKU;IE_NAME;PROP_MANUFACTURER;PROP_GIDROKOSTYUMY_THICKNESS;PROP_GIDROKOSTYUMY_COLOR;PROP_GIDROKOSTYUMY_MATERIAL;PROP_GIDROKOSTYUMY_COVEROUTER;PROP_GIDROKOSTYUMY_COVERINNER;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP2;IP_PROP4;IC_GROUP2;PROP_GIDROKOSTYUMY_DESIGN;;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1
1;;Носки Marlin KEVLAR 5mm, открытая пора, подошва кевлар (K-foam), p-pы 38-47;Marlin;5;чёрный;неопрен;Нейлон;Открытая пора;2;;;;;;;;;;;;;;;;Кевлар;38-47;—;12;22,90 $;;34,35 $;;Подводная охота;Носки
2;;Носки Marlin KEVLAR 7mm, открытая пора, подошва кевлар (K-foam), p-pы 38-47;Marlin;7;чёрный;неопрен;Нейлон;Открытая пора;3;Y;;;;;text;;;text;;500;;;;;Кевлар;38-47;—;12;24,90 $;;37,35 $;;Подводная охота;Носки
3;;Носки Marlin KEVLAR 9mm, открытая пора, подошва кевлар (K-foam), p-pы 38-47;Marlin;9;чёрный;неопрен;Нейлон;Открытая пора;4;Y;;;;;text;;;text;;500;;;;;Кевлар;38-47;—;12;26,80 $;;40,20 $;;Подводная охота;Носки
4;;Носки Marlin ANATOMIC DUR 3mm, открытая пора, подошва дюратекс (K-foam) , p-pы 38-47 ;Marlin;3;чёрный;неопрен;Нейлон;Открытая пора;5;Y;;;;;text;;;text;;500;;;;;Дюратекс;38-47;Лидер продаж;12;14,80 $;;22,10 $;;Подводная охота;Носки
5;;Носки Marlin ANATOMIC DUR 5mm, открытая пора, подошва дюратекс (K-foam) , p-pы 38-47 ;Marlin;5;чёрный;неопрен;Нейлон;Открытая пора;6;Y;;;;;text;;;text;;500;;;;;Дюратекс;38-47;Лидер продаж;12;16,60 $;;24,90 $;;Подводная охота;Носки
6;;Носки Marlin ANATOMIC DUR 7mm, открытая пора, подошва дюратекс (K-foam), p-pы 38-47 ;Marlin;7;чёрный;неопрен;Нейлон;Открытая пора;7;Y;;;;;text;;;text;;500;;;;;Дюратекс;38-47;Лидер продаж;12;17,60 $;;26,40 $;;Подводная охота;Носки
7;;Носки Marlin ANATOMIC DUR 9mm, открытая пора, подошва дюратекс (K-foam), p-pы 38-47 ;Marlin;9;чёрный;неопрен;Нейлон;Открытая пора;8;Y;;;;;text;;;text;;500;;;;;Дюратекс;38-47;Лидер продаж;12;19,50 $;;29,25 $;;Подводная охота;Носки
8;;Носки Marlin ANATOMIC DUR 10mm, открытая пора, подошва дюратекс (K-foam), p-pы 38-47 NEW!!!;Marlin;10;чёрный;неопрен;Нейлон;Открытая пора;9;Y;;;;;text;;;text;;500;;;;;Дюратекс;38-47;Новинка;12;21,90 $;;32,85 $;;Подводная охота;Носки
9;;Носки Marlin ANATOMIC KEV 5mm, открытая пора, подошва кевлар (K-foam) , p-pы 38-47 ;Marlin;5;чёрный;неопрен;Нейлон;Открытая пора;10;Y;;;;;text;;;text;;500;;;;;Кевлар;38-47;—;12;22,90 $;;34,35 $;;Подводная охота;Носки
10;;Носки Marlin ANATOMIC KEV 7mm, открытая пора, подошва кевлар (K-foam), p-pы 38-47 ;Marlin;7;чёрный;неопрен;Нейлон;Открытая пора;11;Y;;;;;text;;;text;;500;;;;;Кевлар;38-47;—;12;24,90 $;;37,35 $;;Подводная охота;Носки
