XML_ID;PROP_SUPPLIER;IE_NAME;PROP_MANUFACTURER;PROP_GIDROKOSTYUMY_TYPE;PROP_GIDROKOSTYUMY_SEX;PROP_GIDROKOSTYUMY_THICKNESS;PROP_GIDROKOSTYUMY_COLOR;PROP_GIDROKOSTYUMY_MATERIAL;PROP_GIDROKOSTYUMY_COVEROUTER;PROP_GIDROKOSTYUMY_COVERINNER;PROP_GIDROKOSTYUMY_DESIGN;PROP_GIDROKOSTYUMY_HELMET;PROP_GIDROKOSTYUMY_SLEEVE;PROP_GIDROKOSTYUMY_TROUSERLEG;PROP_GIDROKOSTYUMY_PROTECTKNEES;PROP_GIDROKOSTYUMY_PROTECTELBOWS;PROP_GIDROKOSTYUMY_ZIPPER;PROP_GIDROKOSTYUMY_SIZE;PROP_STATUS;PROP_WARRANTY;OPT_PRICE;OPT_CURRENCY;PRICE_PRICE;PRICE_CURRENCY;IC_GROUP0;IC_GROUP1
1;;Гидрокостюм Marlin BLACKSKIN 5mm черный/открытая пора (sheico), р-ры 44-60 NEW!!! ;Marlin;Мокрый;Мужской;5;чёрный;Неопрен;Нейлон;Открытая пора;Раздельный;Да;Длинный;Длинная;Да;Да;Клипса;XS,S,M,ML,L,LX,XL,XXL,XXXL;Новинка;12;134.00;USD;201.00;USD;Подводная охота;Гидрокостюмы
2;;Гидрокостюм Marlin BLACKSKIN 7mm черный/открытая пора (sheico), р-ры 44-60 NEW!!!;Marlin;Мокрый;Мужской;7;чёрный;Неопрен;Нейлон;Открытая пора;Раздельный;Да;Длинный;Длинная;Да;Да;Клипса;XS,S,M,ML,L,LX,XL,XXL,XXXL;Новинка;12;146.00;USD;219.00;USD;Подводная охота;Гидрокостюмы
3;;Гидрокостюм Marlin BLACKSKIN 9mm черный/открытая пора (sheico), р-ры 44-60 NEW!!!;Marlin;Мокрый;Мужской;9;чёрный;Неопрен;Нейлон;Открытая пора;Раздельный;Да;Длинный;Длинная;Да;Да;Клипса;XS,S,M,ML,L,LX,XL,XXL,XXXL;Новинка;12;174.00;USD;261.00;USD;Подводная охота;Гидрокостюмы
4;;Гидрокостюм Marlin SARMAT 5mm черный/открытая пора (sheico), р-ры 44-60 ;Marlin;Мокрый;Мужской;5;чёрный;Неопрен;Нейлон;Открытая пора;Раздельный;Да;Длинный;Длинная;Да;Нет;Клипса;XS,S,M,ML,L,LX,XL,XXL,XXXL;Лидер продаж;12;106.00;USD;151.20;USD;Подводная охота;Гидрокостюмы
5;;Гидрокостюм Marlin SARMAT 7mm черный/открытая пора (sheico), р-ры 44-60 ;Marlin;Мокрый;Мужской;7;чёрный;Неопрен;Нейлон;Открытая пора;Раздельный;Да;Длинный;Длинная;Да;Нет;Клипса;XS,S,M,ML,L,LX,XL,XXL,XXXL;Лидер продаж;12;127.00;USD;181.61;USD;Подводная охота;Гидрокостюмы
6;;Гидрокостюм Marlin SARMAT 9mm черный/открытая пора (sheico), р-ры 44-60 ПОД ЗАКАЗ!!!;Marlin;Мокрый;Мужской;9;чёрный;Неопрен;Нейлон;Открытая пора;Раздельный;Да;Длинный;Длинная;Да;Нет;Клипса;XS,S,M,ML,L,LX,XL,XXL,XXXL;Лидер продаж;12;163.00;USD;233.00;USD;Подводная охота;Гидрокостюмы
7;;Гидрокостюм Marlin SKIFF 3mm черный/открытая пора (sheico) , р-ры 44-60;Marlin;Мокрый;Мужской;3;чёрный;Неопрен;Нейлон;Открытая пора;Раздельный;Да;Длинный;Длинная;Да;Да;Клипса;XS,S,M,ML,L,LX,XL,XXL,XXXL;—;12;117.00;USD;175.50;USD;Подводная охота;Гидрокостюмы
8;;Гидрокостюм Marlin SKIFF 3mm черный/золотое напыление (sheico), р-ры 44-60;Marlin;Мокрый;Мужской;3;чёрный;Неопрен;Нейлон;Открытая пора;Раздельный;Да;Длинный;Длинная;Да;Да;Клипса;XS,S,M,ML,L,LX,XL,XXL,XXXL;—;12;131.00;USD;196.50;USD;Подводная охота;Гидрокостюмы
9;;Гидрокостюм Marlin SKIFF 5mm черный/открытая пора (sheico), р-ры 44-60;Marlin;Мокрый;Мужской;5;чёрный;Неопрен;Нейлон;Открытая пора;Раздельный;Да;Длинный;Длинная;Да;Да;Клипса;XS,S,M,ML,L,LX,XL,XXL,XXXL;—;12;126.00;USD;180.20;USD;Подводная охота;Гидрокостюмы
10;;Гидрокостюм Marlin SKIFF 7mm черный/открытая пора (sheico), р-ры 44-60;Marlin;Мокрый;Мужской;7;чёрный;Неопрен;Нейлон;Открытая пора;Раздельный;Да;Длинный;Длинная;Да;Да;Клипса;XS,S,M,ML,L,LX,XL,XXL,XXXL;—;12;133.00;USD;199.50;USD;Подводная охота;Гидрокостюмы
